energy_eV_rel_EF,Coact-Oads_16_347_down,Coact-Oads_16_347_up,Coact-Obridge_16_258_down,Coact-Obridge_16_258_up,neighbor-Obridge_51_258_down,neighbor-Obridge_51_258_up
-5.26316,0.0123,0.00704,0.11391,0.0126,0.23849,0.61925
-5.21303,0.01552,0.09088,0.11968,0.02373,0.31235,0.77749
-5.16291,0.03058,0.29994,0.05444,0.03496,0.27761,0.71964
-5.11278,0.06046,0.48614,0.03898,0.15778,0.29207,0.51477
-5.06266,0.06279,0.39603,0.01466,0.15411,0.18599,0.23382
-5.01253,0.04005,0.29732,0.00781,0.08818,0.07453,0.10097
-4.96241,0.02072,0.23182,0.01378,0.30632,0.06071,0.0985
-4.91228,0.01475,0.20266,0.00949,0.91777,0.01814,0.08996
-4.86216,0.01981,0.2034,0.00273,0.71922,0.01246,0.11723
-4.81203,0.04556,0.37245,0.00867,0.59608,0.20969,0.18709
-4.76190,0.0912,0.66707,0.03395,1.1617,0.67426,0.27372
-4.71178,0.06043,0.41333,0.03097,0.75871,0.44522,0.1777
-4.66165,0.03485,0.14103,0.02233,0.1961,0.08505,0.08541
-4.61153,0.028,0.14911,0.02736,0.26382,0.05134,0.06358
-4.56140,0.03041,0.13627,0.02048,0.33065,0.02803,0.04576
-4.51128,0.03846,0.08049,0.01128,0.17281,0.02999,0.09183
-4.46115,0.0372,0.02606,0.00906,0.17547,0.0129,0.1756
-4.41103,0.03573,0.04998,0.02059,0.26247,0.01298,0.22236
-4.36090,0.04103,0.10756,0.02453,0.21622,-0.00037,0.20958
-4.31078,0.05524,0.12895,-0.00513,0.14164,-0.08591,0.2585
-4.26065,0.04834,0.09883,-0.00663,0.13378,-0.08135,0.23022
-4.21053,0.02281,0.0609,0.00089,0.12272,-0.01373,0.11194
-4.16040,0.01076,0.05109,-0.00059,0.11727,0.00521,0.0495
-4.11028,0.00691,0.02531,-0.00433,0.11729,-0.00079,0.05118
-4.06015,0.00868,-0.00767,-0.00456,0.07996,-0.0103,0.09238
-4.01003,0.0055,-0.04108,-0.00339,0.03289,-0.06821,0.14912
-3.95990,-0.00335,-0.0157,-0.00787,0.04542,-0.18274,0.18822
-3.90977,-0.00373,0.04743,-0.01131,0.08166,-0.22579,0.18949
-3.85965,0.00505,0.09321,-0.01119,0.01841,-0.19437,0.17633
-3.80952,0.00812,0.09763,-0.01189,-0.08814,-0.18467,0.17266
-3.75940,0.01586,0.10135,-0.0174,-0.10298,-0.10467,0.11768
-3.70927,0.01854,0.05461,-0.01849,-0.05116,-0.01584,0.0671
-3.65915,0.01099,0.01654,-0.00515,-0.03547,-0.0022,0.00709
-3.60902,0.00898,0.02526,0.00323,-0.06298,-0.0114,-0.02991
-3.55890,0.00916,0.0436,0.00464,-0.09118,-0.02063,-0.01308
-3.50877,0.00607,0.04144,0.00376,-0.09931,-0.01209,0.01758
-3.45865,0.00131,0.01928,-0.00017,-0.13601,-0.0034,0.03809
-3.40852,0.0022,0.02282,-0.00713,-0.12347,0.00151,0.02187
-3.35840,0.00642,0.00105,-0.00435,-0.085,0.00284,0.01412
-3.30827,0.00748,-0.00581,0.00232,-0.07052,-0.00666,0.00065
-3.25815,0.00566,0.02108,0.00402,-0.02334,-0.01309,-0.03317
-3.20802,0.00445,0.05056,0.00148,0.02875,-0.00914,-0.08077
-3.15789,0.00506,0.05811,0.00056,0.04379,0.00603,-0.16658
-3.10777,0.00345,0.05359,0.0007,0.02894,0.01713,-0.36875
-3.05764,-0.01444,0.05195,0.00017,0.01614,-0.00299,-0.55848
-3.00752,-0.027,0.02417,-0.00259,0.01168,-0.02136,-0.49468
-2.95739,-0.03747,-0.00566,-0.00552,0.00049,-0.01792,-0.19917
-2.90727,-0.05197,-0.00861,-0.00703,-0.00668,-0.01258,-0.04885
-2.85714,-0.07965,0.02145,-0.00882,0.00012,-0.00785,-0.03152
-2.80702,-0.10601,0.05035,-0.00673,0.00453,-0.00804,-0.0352
-2.75689,-0.07696,0.03091,-0.00442,0.00449,-0.01452,-0.01937
-2.70677,-0.04525,0.00799,-0.00443,0.01285,-0.01347,-0.00377
-2.65664,-0.02671,0.01439,-0.00297,0.01198,-0.00619,0.00086
-2.60652,-0.01899,0.01365,-0.00094,0.01067,-0.00312,-0.00104
-2.55639,-0.02127,0.00448,0.00054,0.0092,-0.00293,-0.00618
-2.50627,-0.02147,0.00863,0.00106,-0.00435,0.00136,-0.01833
-2.45614,-0.0209,0.01298,0.00067,-0.007,0.00248,-0.03205
-2.40602,-0.02124,-0.00865,-0.00173,-0.00074,0.00042,-0.02779
-2.35589,-0.02158,-0.02785,-0.00524,-0.0034,-0.00186,-0.03926
-2.30576,-0.02499,-0.05307,-0.00888,-0.00841,-0.00732,-0.08833
-2.25564,-0.03624,-0.08523,-0.01021,-0.00598,-0.013,-0.09524
-2.20551,-0.04033,-0.06916,-0.00277,0.02061,0.00187,-0.07868
-2.15539,-0.03446,-0.03781,0.01326,0.07741,0.02739,-0.09901
-2.10526,-0.02428,-0.0293,-0.00243,0.05354,0.01329,-0.20674
-2.05514,-0.0176,-0.02208,-0.03967,-0.00665,0.01477,-0.25725
-2.00501,-0.01532,-0.00762,-0.05378,0.01182,0.03515,-0.30242
-1.95489,-0.01817,0.01192,-0.06257,0.00552,0.03242,-0.40184
-1.90476,-0.02382,0.0449,-0.08323,-0.02322,0.03846,-0.31975
-1.85464,-0.0232,0.02548,-0.10034,-0.01616,0.02731,-0.12063
-1.80451,-0.02093,-0.00358,-0.0894,-0.00353,0.02549,-0.05077
-1.75439,-0.0195,-0.00737,-0.04552,-0.01014,0.05185,-0.12718
-1.70426,-0.01381,-0.00686,-0.01873,-0.01413,0.06858,-0.19457
-1.65414,-0.00872,-0.00463,-0.00332,0.00363,0.01913,-0.06855
-1.60401,-0.008,-0.00364,-0.00016,0.00837,-0.00161,-0.00903
-1.55388,-0.007,-0.00014,-0.00421,0.00112,-0.00181,-0.00266
-1.50376,-0.00887,-0.00065,-0.00482,0.01058,-0.00205,-0.00142
-1.45363,-0.01037,-0.00385,-0.00207,0.0556,-0.00379,-0.00056
-1.40351,-0.01461,0.00473,-0.00115,0.07146,-0.00477,-0.00021
-1.35338,-0.01122,0.00846,-0.00445,0.02097,-0.00324,-0.00017
-1.30326,-0.004,0.0064,-0.01147,-0.00785,-0.00313,-0.00032
-1.25313,-0.01167,0.0078,-0.0176,-0.00583,-0.00377,-0.00022
-1.20301,-0.03936,0.00865,-0.07672,-0.00357,-0.0044,-0.00033
-1.15288,-0.04552,0.00039,-0.24156,-0.01395,-0.00523,-0.0007
-1.10276,-0.02492,-0.00901,-0.1846,-0.01394,-0.00405,-0.00033
-1.05263,-0.01396,-0.00922,-0.02977,-0.00646,-0.00156,6e-05
-1.00251,-0.02663,-0.00791,-0.00163,-0.00368,-0.00057,7e-05
-0.95238,-0.03761,-0.00581,-0.00487,8e-05,-0.00018,7e-05
-0.90226,-0.07912,-0.00679,-0.06176,-0.00241,0.00031,0.00017
-0.85213,-0.11152,-0.01038,-0.15,-0.00959,0.00078,0.00031
-0.80201,-0.03544,-0.0046,-0.07123,-0.00532,0.00031,0.00019
-0.75188,-0.00372,-0.00083,-0.00704,-0.00098,-4e-05,6e-05
-0.70175,-0.00397,0.00082,-0.00041,-0.00044,-0.00042,3e-05
-0.65163,-0.00727,0.00198,-0.00053,-0.00068,-0.00086,5e-05
-0.60150,-0.00742,0.00486,-0.00941,-0.00141,-0.00045,2e-05
-0.55138,-0.00494,0.00268,-0.05682,-0.00603,-0.0007,-4e-05
-0.50125,-0.00786,-0.00519,-0.06303,-0.00674,-0.00072,-5e-05
-0.45113,-0.01772,-0.02214,-0.01285,-0.0016,-0.0001,-1e-05
-0.40100,-0.02079,-0.04434,-0.0008,-0.00036,-4e-05,1e-05
-0.35088,-0.027,-0.02762,-0.00038,-0.00093,-0.00027,6e-05
-0.30075,-0.06863,-0.00837,-0.00026,-0.00073,-0.00022,6e-05
-0.25063,-0.21448,-0.00988,-6e-05,-9e-05,-4e-05,1e-05
-0.20050,-0.28033,-0.00883,-1e-05,0,-1e-05,-0
-0.15038,-0.08021,-0.00172,-0.00012,4e-05,-0.00036,-0.00067
-0.10025,-0.00644,-0.00213,-0.00066,6e-05,-0.0067,-0.01516
-0.05013,-0.00111,-0.00289,-0.00108,-0.0005,-0.0252,-0.05964
0.00000,-0.00057,-0.00126,-0.00055,-0.00047,-0.01784,-0.04301
0.05013,-0.0002,-0.0004,-7e-05,-7e-05,-0.00227,-0.00577
0.10025,-3e-05,-6e-05,-0,-0,-5e-05,-0.00016
0.15038,-0,-0,-0,-0,-0,-0
0.20050,-0,-0,-0,-0,-0,-0
0.25063,-0,-0,0,-0,-0,0
0.30075,-0,0,0,-0,-0,0
0.35088,-0,-0,0,-0,-6e-05,0.00013
0.40100,-0,-0,5e-05,-0.00011,-0.00145,0.00319
0.45113,-0,-0,0.00021,-0.00049,-0.00623,0.01369
0.50125,-0,-0,0.00016,-0.00038,-0.00483,0.01061
0.55138,-0,-0,2e-05,-5e-05,-0.00067,0.00147
0.60150,-0,-0,0,-0,-2e-05,3e-05
0.65163,-0,-0,0,-0,-0,0
0.70175,-0,-0,0,-0,-0,0
0.75188,-0,-0,-0,-0,-0,0
0.80201,-0,-0,-0,-0,-0,-0
0.85213,-0,-0,-0,-0,-0,-0
