system,state,site_role,orbital,spin,window,Emin_eV,Emax_eV,integrated_PDOS
Al16,*OH,Coact,dx2-y2,up,near-EF -1 to 0 eV,-1.0,0.0,0.0575109154
Al16,*OH,Coact,dx2-y2,up,unoccupied 0 to 1 eV,0.0,1.0,-0.00031070582147470454
Al16,*OH,Coact,dx2-y2,down,occupied -2 to 0 eV,-2.0,0.0,0.05806279720999999
Al16,*OH,Coact,dx2-y2,down,near-EF -1 to 0 eV,-1.0,0.0,0.00019295620999999993
Al16,*OH,Coact,dx2-y2,down,unoccupied 0 to 1 eV,0.0,1.0,0.00021011926920000003
Al16,*OH,Oads,px,up,occupied -2 to 0 eV,-2.0,0.0,0.3918111604999999
Al16,*OH,Oads,px,up,near-EF -1 to 0 eV,-1.0,0.0,0.38151063499999993
Al16,*OH,Oads,px,up,unoccupied 0 to 1 eV,0.0,1.0,-0.002278332734880476
Al16,*OH,Oads,px,down,occupied -2 to 0 eV,-2.0,0.0,0.09008736179999999
Al16,*OH,Oads,px,down,near-EF -1 to 0 eV,-1.0,0.0,0.0463926793
Al16,*OH,Oads,px,down,unoccupied 0 to 1 eV,0.0,1.0,0.1013289878232
Al16,*OH,Oads,py,up,occupied -2 to 0 eV,-2.0,0.0,0.292281584
Al16,*OH,Oads,py,up,near-EF -1 to 0 eV,-1.0,0.0,0.25790841
Al16,*OH,Oads,py,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0002902157029436555
Al16,*OH,Oads,py,down,occupied -2 to 0 eV,-2.0,0.0,0.20384067
Al16,*OH,Oads,py,down,near-EF -1 to 0 eV,-1.0,0.0,0.019927900000000002
Al16,*OH,Oads,py,down,unoccupied 0 to 1 eV,0.0,1.0,0.039463579736500005
Al16,*OH,Oads,pz,up,occupied -2 to 0 eV,-2.0,0.0,0.16036110855000002
Al16,*OH,Oads,pz,up,near-EF -1 to 0 eV,-1.0,0.0,0.11052927355
Al16,*OH,Oads,pz,up,unoccupied 0 to 1 eV,0.0,1.0,-8.133695824900885e-05
Al16,*OH,Oads,pz,down,occupied -2 to 0 eV,-2.0,0.0,0.04922014846999999
Al16,*OH,Oads,pz,down,near-EF -1 to 0 eV,-1.0,0.0,0.013785642970000003
Al16,*OH,Oads,pz,down,unoccupied 0 to 1 eV,0.0,1.0,0.030272521608450006
Al16,*O,Coact,dxy,up,occupied -2 to 0 eV,-2.0,0.0,0.0981446515
Al16,*O,Coact,dxy,up,near-EF -1 to 0 eV,-1.0,0.0,0.086678419
Al16,*O,Coact,dxy,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0008867523997903962
Al16,*O,Coact,dxy,down,occupied -2 to 0 eV,-2.0,0.0,0.07728000272475005
Al16,*O,Coact,dxy,down,near-EF -1 to 0 eV,-1.0,0.0,0.00029548882000000003
Al16,*O,Coact,dxy,down,unoccupied 0 to 1 eV,0.0,1.0,0.02010374145
Al16,*O,Coact,dyz,up,occupied -2 to 0 eV,-2.0,0.0,0.192905958
Al16,*O,Coact,dyz,up,near-EF -1 to 0 eV,-1.0,0.0,0.1877864595
Al16,*O,Coact,dyz,up,unoccupied 0 to 1 eV,0.0,1.0,-0.0011684938683719337
Al16,*O,Coact,dyz,down,occupied -2 to 0 eV,-2.0,0.0,0.02494477137550001
