energy_eV_rel_EF,spin,dos,projection,system,state
0.95837,up,-0.00025427,Obridge p,pristine,*OH
-2.40522,down,0.47945000000000004,Coact d,pristine,*O
-2.40522,up,0.20901,Coact d,pristine,*O
-2.29922,down,0.50997,Coact d,pristine,*O
-2.29922,up,0.15142,Coact d,pristine,*O
-2.19322,down,0.60232,Coact d,pristine,*O
-2.19322,up,0.096648,Coact d,pristine,*O
-2.08722,down,0.79257,Coact d,pristine,*O
-2.08722,up,0.062168,Coact d,pristine,*O
-1.98122,down,0.99441,Coact d,pristine,*O
-1.98122,up,0.039656,Coact d,pristine,*O
-1.87522,down,0.91857,Coact d,pristine,*O
-1.87522,up,0.032213,Coact d,pristine,*O
-1.76922,down,0.56063,Coact d,pristine,*O
-1.76922,up,0.042704,Coact d,pristine,*O
-1.66322,down,0.2566702,Coact d,pristine,*O
-1.66322,up,0.063727,Coact d,pristine,*O
-1.55722,down,0.112052,Coact d,pristine,*O
-1.55722,up,0.0833,Coact d,pristine,*O
-1.45122,down,0.040645,Coact d,pristine,*O
-1.45122,up,0.08836,Coact d,pristine,*O
-1.34522,down,0.0119148,Coact d,pristine,*O
-1.34522,up,0.07522,Coact d,pristine,*O
-1.23922,down,0.01425749,Coact d,pristine,*O
-1.23922,up,0.062726,Coact d,pristine,*O
-1.13322,down,0.028739999999999998,Coact d,pristine,*O
-1.13322,up,0.07164000000000001,Coact d,pristine,*O
-1.02722,down,0.038496999999999997,Coact d,pristine,*O
-1.02722,up,0.103584,Coact d,pristine,*O
-0.92122,down,0.037152,Coact d,pristine,*O
-0.92122,up,0.151677,Coact d,pristine,*O
-0.81522,down,0.03071,Coact d,pristine,*O
-0.81522,up,0.189976,Coact d,pristine,*O
-0.71022,down,0.022409,Coact d,pristine,*O
-0.71022,up,0.173764,Coact d,pristine,*O
-0.60422,down,0.01156,Coact d,pristine,*O
-0.60422,up,0.110676,Coact d,pristine,*O
-0.49822,down,0.00225432,Coact d,pristine,*O
-0.49822,up,0.060688,Coact d,pristine,*O
-0.39222,down,-0.004642507000000001,Coact d,pristine,*O
-0.39222,up,0.1274197,Coact d,pristine,*O
-0.28622,down,-0.00311578,Coact d,pristine,*O
-0.28622,up,0.3921797,Coact d,pristine,*O
-0.18022,down,0.037332699999999996,Coact d,pristine,*O
-0.18022,up,0.6905785,Coact d,pristine,*O
-0.07422,down,0.10622251,Coact d,pristine,*O
-0.07422,up,0.891411,Coact d,pristine,*O
0.03178,down,0.106458,Coact d,pristine,*O
0.03178,up,1.045719,Coact d,pristine,*O
0.13778,down,0.045773799999999996,Coact d,pristine,*O
0.13778,up,0.870768,Coact d,pristine,*O
0.24378,down,0.0669132,Coact d,pristine,*O
0.24378,up,0.3441967,Coact d,pristine,*O
0.34978,down,0.15637679999999998,Coact d,pristine,*O
0.34978,up,0.00026506000000000007,Coact d,pristine,*O
0.45578,down,0.14692,Coact d,pristine,*O
0.45578,up,-0.041275809999999996,Coact d,pristine,*O
0.56178,down,0.048972,Coact d,pristine,*O
0.56178,up,-0.011260973,Coact d,pristine,*O
0.66778,down,-0.0048164,Coact d,pristine,*O
0.66778,up,-0.000616883,Coact d,pristine,*O
0.77378,down,-0.0067681,Coact d,pristine,*O
0.77378,up,0.000202073,Coact d,pristine,*O
0.87978,down,-0.0016959499999999999,Coact d,pristine,*O
0.87978,up,8.79977e-05,Coact d,pristine,*O
0.98478,down,-0.00204953,Coact d,pristine,*O
0.98478,up,5.1197570000000004e-05,Coact d,pristine,*O
-2.40522,down,0.12865,Oads p,pristine,*O
-2.40522,up,0.47864,Oads p,pristine,*O
-2.29922,down,0.10921,Oads p,pristine,*O
-2.29922,up,0.36386999999999997,Oads p,pristine,*O
-2.19322,down,0.07488,Oads p,pristine,*O
-2.19322,up,0.23593,Oads p,pristine,*O
-2.08722,down,0.08207,Oads p,pristine,*O
-2.08722,up,0.148433,Oads p,pristine,*O
-1.98122,down,0.16452,Oads p,pristine,*O
-1.98122,up,0.094191,Oads p,pristine,*O
-1.87522,down,0.24983000000000002,Oads p,pristine,*O
-1.87522,up,0.083138,Oads p,pristine,*O
-1.76922,down,0.28278,Oads p,pristine,*O
-1.76922,up,0.138203,Oads p,pristine,*O
-1.66322,down,0.27094999999999997,Oads p,pristine,*O
-1.66322,up,0.30289,Oads p,pristine,*O
-1.55722,down,0.19304,Oads p,pristine,*O
-1.55722,up,0.5555,Oads p,pristine,*O
-1.45122,down,0.086035,Oads p,pristine,*O
-1.45122,up,0.7243999999999999,Oads p,pristine,*O
-1.34522,down,0.0283777,Oads p,pristine,*O
-1.34522,up,0.7045,Oads p,pristine,*O
-1.23922,down,0.02628175,Oads p,pristine,*O
-1.23922,up,0.5848,Oads p,pristine,*O
-1.13322,down,0.036825,Oads p,pristine,*O
-1.13322,up,0.49770000000000003,Oads p,pristine,*O
-1.02722,down,0.0393,Oads p,pristine,*O
-1.02722,up,0.4919,Oads p,pristine,*O
-0.92122,down,0.038029999999999994,Oads p,pristine,*O
-0.92122,up,0.49729999999999996,Oads p,pristine,*O
-0.81522,down,0.032957,Oads p,pristine,*O
-0.81522,up,0.5318,Oads p,pristine,*O
-0.71022,down,0.021900000000000003,Oads p,pristine,*O
-0.71022,up,0.6245,Oads p,pristine,*O
-0.60422,down,0.008859,Oads p,pristine,*O
-0.60422,up,0.5842,Oads p,pristine,*O
-0.49822,down,-0.0108245,Oads p,pristine,*O
-0.49822,up,0.3456,Oads p,pristine,*O
-0.39222,down,-0.058281,Oads p,pristine,*O
-0.39222,up,0.12266,Oads p,pristine,*O
-0.28622,down,-0.034222,Oads p,pristine,*O
-0.28622,up,0.028009,Oads p,pristine,*O
-0.18022,down,0.44326999999999994,Oads p,pristine,*O
-0.18022,up,0.07302,Oads p,pristine,*O
-0.07422,down,1.2608,Oads p,pristine,*O
-0.07422,up,0.36072,Oads p,pristine,*O
0.03178,down,1.2779,Oads p,pristine,*O
0.03178,up,0.7627999999999999,Oads p,pristine,*O
0.13778,down,0.54047,Oads p,pristine,*O
0.13778,up,0.755,Oads p,pristine,*O
0.24378,down,0.610463,Oads p,pristine,*O
0.24378,up,0.31515,Oads p,pristine,*O
0.34978,down,1.41726,Oads p,pristine,*O
0.34978,up,0.0057734,Oads p,pristine,*O
0.45578,down,1.341262,Oads p,pristine,*O
0.45578,up,-0.03523,Oads p,pristine,*O
0.56178,down,0.4479769,Oads p,pristine,*O
0.56178,up,-0.010289,Oads p,pristine,*O
0.66778,down,-0.0441297,Oads p,pristine,*O
0.66778,up,-0.0009518,Oads p,pristine,*O
0.77378,down,-0.061957399999999996,Oads p,pristine,*O
0.77378,up,6.1000999999999994e-05,Oads p,pristine,*O
0.87978,down,-0.01474893,Oads p,pristine,*O
0.87978,up,5.4919999999999996e-05,Oads p,pristine,*O
0.98478,down,-0.00177743,Oads p,pristine,*O
0.98478,up,3.0409e-05,Oads p,pristine,*O
-2.40522,down,0.23702,Obridge p,pristine,*O
-2.40522,up,0.12579,Obridge p,pristine,*O
-2.29922,down,0.20164,Obridge p,pristine,*O
-2.29922,up,0.19357,Obridge p,pristine,*O
-2.19322,down,0.19283,Obridge p,pristine,*O
-2.19322,up,0.25301,Obridge p,pristine,*O
-2.08722,down,0.16886,Obridge p,pristine,*O
-2.08722,up,0.25374,Obridge p,pristine,*O
-1.98122,down,0.15994,Obridge p,pristine,*O
-1.98122,up,0.21722,Obridge p,pristine,*O
-1.87522,down,0.16326000000000002,Obridge p,pristine,*O
-1.87522,up,0.18721,Obridge p,pristine,*O
-1.76922,down,0.17532,Obridge p,pristine,*O
-1.76922,up,0.18383,Obridge p,pristine,*O
-1.66322,down,0.18736,Obridge p,pristine,*O
-1.66322,up,0.21321,Obridge p,pristine,*O
-1.55722,down,0.15460000000000002,Obridge p,pristine,*O
-1.55722,up,0.25034,Obridge p,pristine,*O
-1.45122,down,0.08727,Obridge p,pristine,*O
-1.45122,up,0.25991,Obridge p,pristine,*O
-1.34522,down,0.05269,Obridge p,pristine,*O
-1.34522,up,0.24921,Obridge p,pristine,*O
-1.23922,down,0.07159,Obridge p,pristine,*O
-1.23922,up,0.23736000000000002,Obridge p,pristine,*O
-1.13322,down,0.10137000000000002,Obridge p,pristine,*O
-1.13322,up,0.20696,Obridge p,pristine,*O
-1.02722,down,0.12498000000000001,Obridge p,pristine,*O
-1.02722,up,0.15664,Obridge p,pristine,*O
-0.92122,down,0.12943,Obridge p,pristine,*O
-0.92122,up,0.13026000000000001,Obridge p,pristine,*O
-0.81522,down,0.086693,Obridge p,pristine,*O
-0.81522,up,0.14951,Obridge p,pristine,*O
-0.71022,down,0.031722,Obridge p,pristine,*O
-0.71022,up,0.18053,Obridge p,pristine,*O
-0.60422,down,0.005688,Obridge p,pristine,*O
-0.60422,up,0.17928,Obridge p,pristine,*O
-0.49822,down,-0.00013860000000000004,Obridge p,pristine,*O
-0.49822,up,0.14294,Obridge p,pristine,*O
-0.39222,down,-0.0012794999999999998,Obridge p,pristine,*O
-0.39222,up,0.108655,Obridge p,pristine,*O
-0.28622,down,-0.0007791,Obridge p,pristine,*O
-0.28622,up,0.0985499,Obridge p,pristine,*O
-0.18022,down,0.0045784,Obridge p,pristine,*O
-0.18022,up,0.11267,Obridge p,pristine,*O
-0.07422,down,0.013515,Obridge p,pristine,*O
-0.07422,up,0.18541000000000002,Obridge p,pristine,*O
0.03178,down,0.014227,Obridge p,pristine,*O
0.03178,up,0.29677,Obridge p,pristine,*O
0.13778,down,0.0057211,Obridge p,pristine,*O
0.13778,up,0.28042,Obridge p,pristine,*O
0.24378,down,0.00036502999999999997,Obridge p,pristine,*O
0.24378,up,0.11713,Obridge p,pristine,*O
0.34978,down,0.00042780000000000004,Obridge p,pristine,*O
0.34978,up,0.0029842999999999996,Obridge p,pristine,*O
0.45578,down,0.0008319600000000001,Obridge p,pristine,*O
0.45578,up,-0.009586899999999999,Obridge p,pristine,*O
0.56178,down,0.00031583800000000003,Obridge p,pristine,*O
0.56178,up,0.0016908000000000001,Obridge p,pristine,*O
0.66778,down,-3.45127e-05,Obridge p,pristine,*O
0.66778,up,0.0030631699999999996,Obridge p,pristine,*O
0.77378,down,-4.66772e-05,Obridge p,pristine,*O
0.77378,up,0.00055207,Obridge p,pristine,*O
0.87978,down,-1.1654e-05,Obridge p,pristine,*O
0.87978,up,-0.00027214,Obridge p,pristine,*O
0.98478,down,-1.29933e-05,Obridge p,pristine,*O
0.98478,up,-0.000127608,Obridge p,pristine,*O
-2.42516,down,0.11693,Coact d,Al16,*OH
-2.42516,up,0.134373,Coact d,Al16,*OH
-2.31516,down,0.51145,Coact d,Al16,*OH
-2.31516,up,0.21772999999999998,Coact d,Al16,*OH
-2.20516,down,1.03016,Coact d,Al16,*OH
-2.20516,up,0.23381000000000002,Coact d,Al16,*OH
-2.09516,down,1.5421399999999998,Coact d,Al16,*OH
-2.09516,up,0.160648,Coact d,Al16,*OH
-1.98416,down,1.64565,Coact d,Al16,*OH
-1.98416,up,0.089821,Coact d,Al16,*OH
-1.87416,down,1.03608,Coact d,Al16,*OH
-1.87416,up,0.0591763,Coact d,Al16,*OH
-1.76416,down,0.37956,Coact d,Al16,*OH
-1.76416,up,0.051228,Coact d,Al16,*OH
-1.65316,down,0.103705,Coact d,Al16,*OH
-1.65316,up,0.074848,Coact d,Al16,*OH
-1.54316,down,0.0060286,Coact d,Al16,*OH
-1.54316,up,0.130462,Coact d,Al16,*OH
-1.43316,down,0.0055431,Coact d,Al16,*OH
-1.43316,up,0.149929,Coact d,Al16,*OH
-1.32216,down,0.175851,Coact d,Al16,*OH
-1.32216,up,0.09815600000000001,Coact d,Al16,*OH
-1.21216,down,0.37395,Coact d,Al16,*OH
-1.21216,up,0.03184,Coact d,Al16,*OH
-1.10216,down,0.29628,Coact d,Al16,*OH
-1.10216,up,-0.00183217,Coact d,Al16,*OH
-0.99216,down,0.074973,Coact d,Al16,*OH
-0.99216,up,-0.01105367,Coact d,Al16,*OH
-0.88116,down,-0.015033600000000001,Coact d,Al16,*OH
-0.88116,up,0.0228542,Coact d,Al16,*OH
-0.77116,down,-0.0107434,Coact d,Al16,*OH
-0.77116,up,0.15503899999999998,Coact d,Al16,*OH
-0.66116,down,-0.00197507,Coact d,Al16,*OH
-0.66116,up,0.421222,Coact d,Al16,*OH
-0.55016,down,-0.000299052,Coact d,Al16,*OH
-0.55016,up,0.937711,Coact d,Al16,*OH
-0.44016,down,-0.00097065,Coact d,Al16,*OH
-0.44016,up,1.299365,Coact d,Al16,*OH
-0.33016,down,-0.001885217,Coact d,Al16,*OH
-0.33016,up,0.828445,Coact d,Al16,*OH
