"energy_eV_rel_EF","Oads_p_down","Obridge_p_up","Obridge_p_down","Co_d_down","Co_d_up","Oads_p_up"
"-2.42516","0.055584999999999996","0.047855000000000002","0.012201999999999999","0.11693000000000001","0.13437299999999999","0.23546"
"-2.31516","0.20399","0.061581999999999998","0.019331000000000001","0.51145000000000007","0.21772999999999998","0.51780000000000004"
"-2.20516","0.32052000000000003","0.084755000000000011","0.050030000000000005","1.03016","0.23380999999999999","0.60840000000000005"
"-2.09516","0.31045","0.10847999999999999","0.080479999999999996","1.5421399999999998","0.16064800000000004","0.42407"
"-1.98416","0.27046999999999999","0.17530000000000001","0.09083999999999999","1.6456499999999998","0.089820999999999998","0.23701"
"-1.87416","0.27227000000000001","0.25869000000000003","0.08763","1.0360800000000001","0.059176300000000001","0.17607"
"-1.76416","0.24237","0.24213999999999999","0.071010000000000004","0.37956000000000001","0.05122800000000001","0.13967299999999999"
"-1.65316","0.129969","0.15962000000000001","0.036096999999999997","0.10370500000000002","0.074848000000000012","0.095057000000000003"
"-1.54316","0.0070899999999999999","0.12998999999999999","0.0046740999999999996","0.0060286000000000003","0.13046199999999999","0.10407040000000001"
"-1.43316","0.013047999999999999","0.11708","0.0022677000000000001","0.0055430999999999996","0.14992899999999998","0.121365"
"-1.32216","0.312888","0.070309999999999997","0.047912999999999997","0.17585100000000001","0.098155999999999979","0.087143999999999999"
"-1.21216","0.6692922","0.027178000000000001","0.10360800000000001","0.37395","0.03184","0.037191099999999998"
"-1.10216","0.53645909999999997","0.012267999999999999","0.085357000000000002","0.29627999999999993","-0.0018321699999999999","-0.0028959999999999997"
"-0.99216","0.13899050000000002","0.010324","0.024515000000000002","0.074972999999999998","-0.011053670000000002","-0.038106000000000001"
"-0.88116","-0.025706480000000004","0.019041000000000002","-0.0020368999999999999","-0.015033599999999999","0.022854200000000002","0.11153399999999999"
"-0.77116","-0.01928761","0.052063999999999999","-0.0018352999999999998","-0.0107434","0.15503900000000001","0.69806109999999999"
"-0.66116","-0.0040150799999999999","0.085430000000000006","-1.6721000000000032E-05","-0.0019750700000000002","0.42122200000000004","1.341"
"-0.55016","-0.0068019999999999999","0.085959999999999995","1.5639999999999999E-05","-0.00029905200000000006","0.93771100000000007","1.7081999999999999"
"-0.44016","-0.041497999999999993","0.066639000000000004","-0.00034314000000000002","-0.00097064999999999999","1.2993650000000001","1.7751099999999997"
"-0.33016","-0.078999999999999987","0.034065999999999999","-0.0006812299999999999","-0.0018852169999999998","0.82844499999999999","1.04976"
"-0.21916","0.24324000000000001","0.0069555000000000007","0.0023951900000000002","0.0059452700000000008","0.15176609999999996","0.17300509999999999"
"-0.10916","1.1812","0.00028193000000000001","0.011392309999999999","0.028801749999999997","-0.0522332","-0.079313999999999996"
"0.00084","1.6079999999999999","0.00093309999999999997","0.01547662","0.039199449999999997","-0.025985000000000001","-0.035859700000000001"
"0.11084","0.80580000000000007","0.00056236000000000003","0.0077510300000000008","0.019646230000000001","-0.00444693","-0.0055084999999999995"
"0.22184","0.045789000000000003","-1.5458999999999999E-05","0.00043870420000000001","0.0011182569999999999","-0.00056107599999999998","-0.00052167000000000001"
"0.33184","-0.077800000000000008","-9.0625999999999996E-05","-0.00074895800000000009","-0.0018960200000000002","-0.00010703829999999999","-8.2179999999999989E-05"
"0.44184","-0.023446000000000002","-2.7760999999999997E-05","-0.00022558760000000001","-0.00057161799999999997","-2.0554300000000001E-05","-1.7595E-05"
"0.55284","-0.0027415","-3.6803999999999999E-06","-2.638008E-05","-6.6891100000000001E-05","-2.4186200000000001E-06","-2.3869999999999998E-06"
"0.66284","-0.00015372000000000001","-2.4791E-07","-1.479033E-06","-3.7690599999999998E-06","-1.5833099999999999E-07","-1.7727000000000002E-07"
"0.77284","-4.4920999999999997E-06","-8.9135999999999995E-09","-5.8158999999999998E-08","-1.6131400000000001E-06","-5.7094499999999996E-09","-7.0898000000000001E-09"
"0.88384","-4.5376000000000004E-06","-1.74498E-10","-7.3819999999999998E-07","-7.0653899999999998E-05","-1.1331820000000001E-10","-1.5251499999999999E-10"
