"energy_relative_to_EF_eV","O258_p_total_down","O258_p_total_up","O259_p_total_down","O259_p_total_up","O294_p_total_down","O294_p_total_up"
"-10.77694000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.72682000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.67669000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.62657000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.57644000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.52632000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.47619000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.42607000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.37594000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.32581000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.27569000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.22556000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.17544000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.12531000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.07519000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-10.02506000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.97494000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.92481000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.87469000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.82456000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.77444000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.72431000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.67419000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.62406000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.57393000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.52381000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.47368000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.42356000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.37343000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.32331000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.27318000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.22306000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.17293000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.12281000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.07268000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-9.02256000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.97243000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.92231000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.87218000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.82206000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.77193000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.72180000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.67168000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.62155000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.57143000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.52130000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.47118000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.42105000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.37093000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.32080000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.27068000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.22055000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.17043000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.12030000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000","0.00000000"
"-8.07018000","0.00000000","0.00002000","0.00000000","0.00006000","0.00000000","0.00002000"
"-8.02005000","0.00000000","0.00028000","0.00000000","0.00087000","0.00000000","0.00036000"
"-7.96992000","0.00000000","0.00257000","0.00000000","0.00830000","0.00000000","0.00211000"
"-7.91980000","0.00000000","0.01793000","0.00000000","0.05880000","0.00000000","0.01229000"
"-7.86967000","0.00000000","0.03788000","0.00000000","0.13239000","0.00000000","0.02538000"
"-7.81955000","0.00001000","0.05150000","0.00002000","0.19250000","0.00000000","0.03876000"
"-7.76942000","0.00049000","0.05398000","0.00184000","0.20172000","0.00034000","0.04492000"
"-7.71930000","0.00794000","0.04227000","0.03005000","0.18253000","0.00553000","0.03885000"
"-7.66917000","0.02725000","0.10237000","0.10641000","0.22999000","0.01883000","0.16058000"
"-7.61905000","0.03862000","0.30954000","0.16274000","0.29094000","0.02590000","0.52645000"
"-7.56892000","0.05019000","0.35671000","0.22342000","0.27814000","0.03249000","0.55700000"
"-7.51880000","0.03531000","0.14320000","0.18398000","0.17713000","0.02066000","0.17529000"
"-7.46867000","0.02856000","0.06625000","0.17748000","0.14583000","0.01527000","0.05578000"
"-7.41855000","0.03738000","0.08929000","0.20849000","0.20395000","0.02930000","0.27622000"
"-7.36842000","0.03650000","0.14786000","0.21945000","0.24825000","0.03593000","1.16932000"
"-7.31830000","0.03190000","0.20609000","0.19334000","0.25984000","0.03029000","1.57788000"
"-7.26817000","0.04356000","0.50730000","0.15192000","0.22249000","0.05101000","0.65543000"
"-7.21805000","0.05580000","1.04571000","0.11707000","0.25499000","0.07992000","0.21845000"
"-7.16792000","0.07801000","0.95255000","0.19987000","0.51109000","0.13592000","0.17202000"
"-7.11779000","0.08857000","0.84508000","0.25573000","0.84668000","0.17425000","0.14902000"
"-7.06767000","0.06662000","0.50842000","0.21817000","0.87947000","0.11873000","0.11912000"
"-7.01754000","0.05854000","0.21332000","0.15544000","0.56567000","0.10329000","0.10399000"
"-6.96742000","0.08654000","0.19427000","0.18940000","0.42674000","0.16101000","0.09842000"
"-6.91729000","0.11063000","0.15452000","0.21812000","0.40251000","0.13813000","0.09185000"
"-6.86717000","0.10794000","0.13334000","0.19324000","0.41470000","0.11502000","0.13091000"
"-6.81704000","0.25315000","0.13342000","0.18684000","0.55313000","0.25346000","0.17712000"
"-6.76692000","0.52924000","0.09162000","0.24450000","0.82419000","0.67890000","0.13263000"
"-6.71679000","0.45761000","0.07485000","0.41079000","0.80196000","0.93001000","0.09760000"
