system	state	pair_role	atom1_index	atom2_index	distance_A	energy_eV_rel_EF	spin	pCOHP_raw	minus_pCOHP	source_file
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.43609	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.38596	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.38596	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.38596	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.38596	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.38596	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.38596	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.33584	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.33584	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.33584	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.33584	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.33584	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.33584	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.28571	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.28571	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.28571	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.28571	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.28571	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.28571	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.23559	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.23559	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.23559	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.23559	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.23559	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.23559	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.18546	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.18546	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.18546	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.18546	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.18546	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.18546	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.13534	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.13534	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.13534	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.13534	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.13534	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.13534	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.08521	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.08521	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.08521	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.08521	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.08521	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.08521	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.03509	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-14.03509	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.03509	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-14.03509	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.03509	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-14.03509	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.98496	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.98496	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.98496	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.98496	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.98496	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.98496	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.93484	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.93484	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.93484	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.93484	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.93484	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.93484	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.88471	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.88471	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.88471	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.88471	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.88471	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.88471	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.83459	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.83459	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.83459	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.83459	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.83459	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.83459	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.78446	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.78446	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.78446	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.78446	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.78446	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	neighbor-Obridge	23	258	2.112332	-13.78446	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.73434	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Oads	21	347	1.743233	-13.73434	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.73434	up	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
pristine	*O	Coact-Obridge	21	258	2.069958	-13.73434	down	0	-0	source_manifest:COHP/PDOS/pristine/*O/COHPCAR.lobster
