x_A,y_A,value
1.45591,-1.61672,0.00035734702
1.52200,-1.61672,0.00031982944
1.58810,-1.61672,0.00027015383
1.65420,-1.61672,0.00021456576
1.72029,-1.61672,0.0001535762
1.78639,-1.61672,9.1498638e-05
1.85249,-1.61672,2.7911636e-05
1.91859,-1.61672,-4.4006418e-05
1.98468,-1.61672,-0.00010843189
2.05078,-1.61672,-0.00016473536
2.11688,-1.61672,-0.0002219411
2.18297,-1.61672,-0.00026781781
2.24907,-1.61672,-0.00029985837
2.31517,-1.61672,-0.00031972284
2.38127,-1.61672,-0.00032789112
2.44736,-1.61672,-0.00032837898
2.51346,-1.61672,-0.00031239146
2.57956,-1.61672,-0.00027680054
2.64565,-1.61672,-0.00023723194
2.71175,-1.61672,-0.00020537739
2.77785,-1.61672,-0.0001748474
2.84394,-1.61672,-0.00014628271
2.91004,-1.61672,-0.00014011445
2.97614,-1.61672,-0.00013774015
3.04224,-1.61672,-0.00013877898
3.10833,-1.61672,-0.00014877653
3.17443,-1.61672,-0.00015025827
3.24053,-1.61672,-0.00014605861
3.30662,-1.61672,-0.00012691031
3.37272,-1.61672,-8.3589744e-05
3.43882,-1.61672,-1.6660786e-05
3.50492,-1.61672,0.00010425767
3.57101,-1.61672,0.00029159119
3.63711,-1.61672,0.00055479718
3.70321,-1.61672,0.0009882244
3.76930,-1.61672,0.0015305171
3.83540,-1.61672,0.0022613457
3.90150,-1.61672,0.003432571
-3.96406,-1.57258,-0.00063790462
-3.89796,-1.57258,-0.00082949217
-3.83186,-1.57258,-0.0010688768
-3.76577,-1.57258,-0.0013955032
-3.69967,-1.57258,-0.0017723413
-3.63357,-1.57258,-0.0022164145
-3.56747,-1.57258,-0.0027682057
-3.50138,-1.57258,-0.0034286818
-3.43528,-1.57258,-0.0042947461
-3.36918,-1.57258,-0.0052763731
-3.30309,-1.57258,-0.0063492884
-3.23699,-1.57258,-0.0075295856
-3.17089,-1.57258,-0.0087161846
-3.10479,-1.57258,-0.009817915
-3.03870,-1.57258,-0.010890638
-2.97260,-1.57258,-0.011819582
-2.90650,-1.57258,-0.012669286
-2.84041,-1.57258,-0.013493204
-2.77431,-1.57258,-0.013857469
-2.70821,-1.57258,-0.013838999
-2.64211,-1.57258,-0.01338832
-2.57602,-1.57258,-0.012400056
-2.50992,-1.57258,-0.011208241
-2.44382,-1.57258,-0.0097593218
-2.37773,-1.57258,-0.0079961596
-2.31163,-1.57258,-0.0062123984
-2.24553,-1.57258,-0.0045079198
-2.17943,-1.57258,-0.002748312
-2.11334,-1.57258,-0.0010153319
-2.04724,-1.57258,0.00049401622
-1.98114,-1.57258,0.0017184736
-1.91505,-1.57258,0.002825293
-1.84895,-1.57258,0.0037186502
-1.78285,-1.57258,0.0040781125
-1.71675,-1.57258,0.0042732931
-1.65066,-1.57258,0.0042816922
-1.58456,-1.57258,0.0037741077
-1.51846,-1.57258,0.003028078
-1.45237,-1.57258,0.0022269483
-1.38627,-1.57258,0.0012735869
-1.32017,-1.57258,-8.3015766e-06
-1.25408,-1.57258,-0.0010150291
-1.18798,-1.57258,-0.0016044755
-1.12188,-1.57258,-0.0021775917
-1.05578,-1.57258,-0.0022277762
-0.98969,-1.57258,-0.0020275943
-0.92359,-1.57258,-0.0014616128
-0.85749,-1.57258,-0.00074264826
-0.79140,-1.57258,-0.00036616251
-0.72530,-1.57258,6.0298946e-05
-0.65920,-1.57258,0.00028445153
-0.59310,-1.57258,0.00021379162
-0.52701,-1.57258,0.00010578404
-0.46091,-1.57258,-0.00018810108
-0.39481,-1.57258,-0.00047232932
-0.32872,-1.57258,-0.00066979916
-0.26262,-1.57258,-0.00083154812
-0.19652,-1.57258,-0.00097077276
-0.13042,-1.57258,-0.0010164588
-0.06433,-1.57258,-0.0010018731
0.00177,-1.57258,-0.00098097825
0.06787,-1.57258,-0.00092190789
0.13396,-1.57258,-0.00083755376
0.20006,-1.57258,-0.00074574479
0.26616,-1.57258,-0.00062682031
0.33226,-1.57258,-0.00050897966
0.39835,-1.57258,-0.00040461984
0.46445,-1.57258,-0.00027569101
0.53055,-1.57258,-0.00015715533
0.59664,-1.57258,-6.3694693e-05
0.66274,-1.57258,4.2612046e-05
0.72884,-1.57258,0.00013750685
0.79493,-1.57258,0.00020978732
0.86103,-1.57258,0.00027731323
0.92713,-1.57258,0.00033571155
0.99323,-1.57258,0.00037292502
1.05932,-1.57258,0.00039637578
1.12542,-1.57258,0.00041067071
1.19152,-1.57258,0.00041234586
1.25761,-1.57258,0.00040341972
1.32371,-1.57258,0.00038495933
1.38981,-1.57258,0.00036027769
1.45591,-1.57258,0.00032824598
1.52200,-1.57258,0.00029086153
1.58810,-1.57258,0.00024468097
1.65420,-1.57258,0.0001931997
1.72029,-1.57258,0.00013647738
1.78639,-1.57258,7.4473457e-05
1.85249,-1.57258,1.3258454e-05
1.91859,-1.57258,-5.0336428e-05
1.98468,-1.57258,-0.00011275972
