x_A,y_A,charge_total_Al16,charge_total_undoped,magnetization_Al16,magnetization_undoped,spin_down_Al16,spin_down_undoped,spin_up_Al16,spin_up_undoped
1.12542,-1.66086,0.0009246142,0.00034180726,-0.0013658234,-0.00057903701,0.0011452188,0.00046042213,-0.00022060462,-0.00011861487
1.19152,-1.66086,0.00075753458,0.00031583611,-0.0012828142,-0.00059674541,0.0010201744,0.00045629076,-0.00026263981,-0.00014045465
1.25761,-1.66086,0.00057271379,0.00028788191,-0.001184162,-0.00061516033,0.00087843789,0.00045152113,-0.0003057241,-0.00016363921
1.32371,-1.66086,0.00037037948,0.00024828158,-0.0010523601,-0.00061641814,0.00071136979,0.00043234986,-0.00034099029,-0.00018406828
1.38981,-1.66086,0.00013810949,0.00019533114,-0.00089257682,-0.00061172899,0.00051534316,0.00040353008,-0.00037723366,-0.00020819892
1.45591,-1.66086,-5.3671036e-05,0.00014634345,-0.00075047207,-0.0006107653,0.00034840053,0.00037855437,-0.00040207154,-0.00023221094
1.52200,-1.66086,-0.00023473924,9.0683701e-05,-0.00060068152,-0.00059764867,0.00018297114,0.00034416618,-0.0004177104,-0.00025348249
1.58810,-1.66086,-0.00040662434,2.2591699e-05,-0.00045273514,-0.00057156075,2.30554e-05,0.00029707621,-0.00042967976,-0.00027448454
1.65420,-1.66086,-0.00051200343,-5.8539525e-05,-0.00034550161,-0.00053475949,-8.325091e-05,0.00023810998,-0.00042875251,-0.00029664949
1.72029,-1.66086,-0.0005911669,-0.00014675164,-0.00026008027,-0.00049125962,-0.00016554332,0.00017225399,-0.00042562358,-0.00031900563
1.78639,-1.66086,-0.0006552696,-0.00022780482,-0.00017472137,-0.00043904359,-0.00024027412,0.00010561939,-0.00041499548,-0.00033342419
1.85249,-1.66086,-0.00067882892,-0.00031700535,-0.00012580921,-0.00037813047,-0.00027650985,3.0562558e-05,-0.00040231907,-0.0003475679
1.91859,-1.66086,-0.00068740977,-0.00040911726,-0.00010038125,-0.00031402864,-0.00029351425,-4.7544308e-05,-0.00039389552,-0.00036157295
1.98468,-1.66086,-0.00068071147,-0.0004768759,-7.7646262e-05,-0.00025448954,-0.00030153259,-0.00011119318,-0.00037917888,-0.0003656827
2.05078,-1.66086,-0.00066576182,-0.0005425876,-6.7547313e-05,-0.00018946677,-0.00029910725,-0.00017656042,-0.00036665457,-0.00036602718
2.11688,-1.66086,-0.00065071142,-0.00060212921,-6.5571272e-05,-0.00012773504,-0.00029257007,-0.00023719709,-0.00035814135,-0.00036493212
2.18297,-1.66086,-0.00063442806,-0.00064447627,-6.4361142e-05,-7.3776631e-05,-0.00028503346,-0.00028534982,-0.0003493946,-0.00035912645
2.24907,-1.66086,-0.00061121903,-0.00066969864,-5.9398102e-05,-2.6013469e-05,-0.00027591045,-0.00032184258,-0.00033530858,-0.00034785605
2.31517,-1.66086,-0.0005830017,-0.00068376982,-5.6006538e-05,1.0783616e-05,-0.00026349758,-0.00034727671,-0.00031950412,-0.0003364931
2.38127,-1.66086,-0.00054964557,-0.00068616873,-5.4122291e-05,3.5443118e-05,-0.00024776164,-0.00036080592,-0.00030188393,-0.00032536281
2.44736,-1.66086,-0.00049897644,-0.00066885108,-5.1310304e-05,4.8174956e-05,-0.00022383306,-0.000358513,-0.00027514336,-0.00031033807
2.51346,-1.66086,-0.0004416029,-0.00064013334,-4.8988939e-05,5.1840667e-05,-0.00019630698,-0.00034598701,-0.00024529593,-0.00029414633
2.57956,-1.66086,-0.00038059716,-0.0006037319,-4.6754241e-05,4.7911439e-05,-0.00016692147,-0.00032582166,-0.0002136757,-0.00027791024
2.64565,-1.66086,-0.00031539678,-0.00055968337,-4.3330088e-05,4.2392887e-05,-0.00013603334,-0.00030103812,-0.00017936344,-0.00025864525
2.71175,-1.66086,-0.00025211161,-0.00051821204,-3.8530725e-05,3.7845952e-05,-0.00010679044,-0.00027802901,-0.00014532117,-0.00024018304
2.77785,-1.66086,-0.00019109972,-0.00046895343,-3.2002376e-05,2.7097763e-05,-7.954867e-05,-0.00024802561,-0.00011155105,-0.00022092783
2.84394,-1.66086,-0.00013309758,-0.00042424793,-2.3575942e-05,2.1624446e-05,-5.4760818e-05,-0.00022293619,-7.8336758e-05,-0.00020131175
2.91004,-1.66086,-8.5230735e-05,-0.00039767451,-1.4716016e-05,2.3595618e-05,-3.5257359e-05,-0.00021063506,-4.9973376e-05,-0.00018703945
2.97614,-1.66086,-3.9750692e-05,-0.0003802217,-5.6857484e-06,2.6812348e-05,-1.7032471e-05,-0.00020351702,-2.2718221e-05,-0.00017670468
3.04224,-1.66086,7.4225768e-06,-0.00037713151,2.2261588e-06,3.6950743e-05,2.598209e-06,-0.00020704113,4.8243678e-06,-0.00017009038
3.10833,-1.66086,4.3988304e-05,-0.00038413634,8.7167728e-06,4.7964735e-05,1.7635766e-05,-0.00021605054,2.6352538e-05,-0.0001680858
3.17443,-1.66086,7.6297401e-05,-0.00039664595,1.4467857e-05,5.630574e-05,3.0914773e-05,-0.00022647585,4.5382629e-05,-0.0001701701
3.24053,-1.66086,0.00010664354,-0.00040990609,1.847955e-05,6.3049018e-05,4.4081993e-05,-0.00023647756,6.2561543e-05,-0.00017342853
3.30662,-1.66086,0.00012921337,-0.00041341319,2.049658e-05,5.9649017e-05,5.4358396e-05,-0.00023653111,7.4854972e-05,-0.00017688208
3.37272,-1.66086,0.0001428657,-0.00038451067,1.8683389e-05,2.8040424e-05,6.2091152e-05,-0.00020627555,8.0774545e-05,-0.00017823512
3.43882,-1.66086,0.00014897213,-0.0003147347,1.3357715e-05,-3.6132249e-05,6.780721e-05,-0.00013930122,8.1164922e-05,-0.00017543348
3.50492,-1.66086,0.00014923538,-0.00021144928,4.5727347e-06,-0.00013586732,7.2331321e-05,-3.7790982e-05,7.6904056e-05,-0.00017365831
3.57101,-1.66086,0.00014151243,-3.347436e-05,-1.2456931e-05,-0.00029944823,7.6984681e-05,0.00013298694,6.4527747e-05,-0.00016646129
3.63711,-1.66086,0.00012085835,0.00027721465,-4.1831645e-05,-0.00058368366,8.1344995e-05,0.00043044914,3.9513354e-05,-0.0001532345
3.70321,-1.66086,9.2362665e-05,0.00069360086,-8.2763967e-05,-0.0009822289,8.7563312e-05,0.00083791488,4.799349e-06,-0.00014431402
3.76930,-1.66086,6.4039683e-05,0.0012511854,-0.0001395149,-0.0015158427,0.00010177729,0.0013835141,-3.7737609e-05,-0.00013232866
3.83540,-1.66086,2.003133e-05,0.0022917974,-0.00023960468,-0.0024655112,0.000129818,0.0023786542,-0.00010978668,-8.685689e-05
