system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
Al16	*OH	-0.66116	down	TDOS	0	all	total	47.11	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.55016	up	TDOS	0	all	total	63.89	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.55016	down	TDOS	0	all	total	30.94	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.44016	up	TDOS	0	all	total	64.26	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.44016	down	TDOS	0	all	total	30.19	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.33016	up	TDOS	0	all	total	60.77	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.33016	down	TDOS	0	all	total	29.58	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.21916	up	TDOS	0	all	total	64.23	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.21916	down	TDOS	0	all	total	20.11	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.10916	up	TDOS	0	all	total	73.16	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	-0.10916	down	TDOS	0	all	total	16.24	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.00084	up	TDOS	0	all	total	61	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.00084	down	TDOS	0	all	total	16.79	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.11084	up	TDOS	0	all	total	27.08	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.11084	down	TDOS	0	all	total	9.657	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.22184	up	TDOS	0	all	total	2.441	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.22184	down	TDOS	0	all	total	1.469	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.33184	up	TDOS	0	all	total	-2.557	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.33184	down	TDOS	0	all	total	-0.7772	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.44184	up	TDOS	0	all	total	-0.9985	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.44184	down	TDOS	0	all	total	-0.3568	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.55284	up	TDOS	0	all	total	-0.1519	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.55284	down	TDOS	0	all	total	-0.0571	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.66284	up	TDOS	0	all	total	-0.01134	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.66284	down	TDOS	0	all	total	-0.004351	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.77284	up	TDOS	0	all	total	-0.000441	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.77284	down	TDOS	0	all	total	-0.0001741	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.88384	up	TDOS	0	all	total	-9.133e-06	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.88384	down	TDOS	0	all	total	-0.0002306	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
Al16	*OH	0.99384	up	TDOS	0	all	total	-1.018e-07	source_manifest:COHP/PDOS/Al16/*OH/DOSCAR
