system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
pristine	*O	-2.40522	up	TDOS	0	all	total	111.4	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.40522	down	TDOS	0	all	total	118.6	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.29922	up	TDOS	0	all	total	102.2	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.29922	down	TDOS	0	all	total	117.1	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.19322	up	TDOS	0	all	total	95.42	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.19322	down	TDOS	0	all	total	110.9	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.08722	up	TDOS	0	all	total	89.37	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-2.08722	down	TDOS	0	all	total	105.8	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.98122	up	TDOS	0	all	total	82.45	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.98122	down	TDOS	0	all	total	99.97	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.87522	up	TDOS	0	all	total	78.86	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.87522	down	TDOS	0	all	total	85.91	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.76922	up	TDOS	0	all	total	81.15	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.76922	down	TDOS	0	all	total	67.24	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.66322	up	TDOS	0	all	total	84.28	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.66322	down	TDOS	0	all	total	53.52	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.55722	up	TDOS	0	all	total	90.15	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
pristine	*O	-1.55722	down	TDOS	0	all	total	45.3	source_manifest:COHP/PDOS/pristine/*O/DOSCAR
