system	state	energy_eV_rel_EF	spin	site_role	atom_index	element	orbital	dos	source_file
Al16	*O	-2.32083	up	TDOS	0	all	total	77.92	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-2.32083	down	TDOS	0	all	total	75.28	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-2.20983	up	TDOS	0	all	total	70.11	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-2.20983	down	TDOS	0	all	total	85.2	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-2.09983	up	TDOS	0	all	total	64.72	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-2.09983	down	TDOS	0	all	total	95	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.98883	up	TDOS	0	all	total	66.69	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.98883	down	TDOS	0	all	total	103.4	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.87883	up	TDOS	0	all	total	72.19	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.87883	down	TDOS	0	all	total	102.7	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.76783	up	TDOS	0	all	total	71.34	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.76783	down	TDOS	0	all	total	84.03	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.65783	up	TDOS	0	all	total	66.05	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.65783	down	TDOS	0	all	total	65.31	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.54683	up	TDOS	0	all	total	63.19	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.54683	down	TDOS	0	all	total	66.73	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.43583	up	TDOS	0	all	total	63.09	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.43583	down	TDOS	0	all	total	78.86	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.32583	up	TDOS	0	all	total	59.96	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.32583	down	TDOS	0	all	total	91.9	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.21483	up	TDOS	0	all	total	57.09	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.21483	down	TDOS	0	all	total	103.4	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.10483	up	TDOS	0	all	total	60.79	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-1.10483	down	TDOS	0	all	total	102.4	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.99383	up	TDOS	0	all	total	68.11	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.99383	down	TDOS	0	all	total	90.58	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.88383	up	TDOS	0	all	total	73.74	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.88383	down	TDOS	0	all	total	80.83	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.77283	up	TDOS	0	all	total	70.61	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.77283	down	TDOS	0	all	total	68.46	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.66283	up	TDOS	0	all	total	62.98	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.66283	down	TDOS	0	all	total	47.71	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.55183	up	TDOS	0	all	total	60.15	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.55183	down	TDOS	0	all	total	30.86	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.44083	up	TDOS	0	all	total	62.15	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.44083	down	TDOS	0	all	total	27.52	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.33083	up	TDOS	0	all	total	65.82	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.33083	down	TDOS	0	all	total	28	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.21983	up	TDOS	0	all	total	69.12	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.21983	down	TDOS	0	all	total	20.21	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.10983	up	TDOS	0	all	total	67.81	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-0.10983	down	TDOS	0	all	total	16.18	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.00117	up	TDOS	0	all	total	52.63	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.00117	down	TDOS	0	all	total	17.91	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.11117	up	TDOS	0	all	total	24.43	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.11117	down	TDOS	0	all	total	10.91	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.22217	up	TDOS	0	all	total	2.99	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.22217	down	TDOS	0	all	total	1.663	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.33217	up	TDOS	0	all	total	-2.172	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.33217	down	TDOS	0	all	total	0.3411	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.44317	up	TDOS	0	all	total	-0.9485	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.44317	down	TDOS	0	all	total	3.193	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.55417	up	TDOS	0	all	total	-0.1522	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.55417	down	TDOS	0	all	total	3.542	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.66417	up	TDOS	0	all	total	-0.01175	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.66417	down	TDOS	0	all	total	1.226	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.77517	up	TDOS	0	all	total	-0.0004669	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.77517	down	TDOS	0	all	total	-0.1116	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.88517	up	TDOS	0	all	total	-9.791e-06	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.88517	down	TDOS	0	all	total	-0.1507	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.99617	up	TDOS	0	all	total	-1.097e-07	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	0.99617	down	TDOS	0	all	total	-0.03559	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.10617	up	TDOS	0	all	total	-6.628e-10	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.10617	down	TDOS	0	all	total	-0.05947	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.21717	up	TDOS	0	all	total	-5.46e-10	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.21717	down	TDOS	0	all	total	-0.4239	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.32817	up	TDOS	0	all	total	-7.585e-08	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.32817	down	TDOS	0	all	total	-1.434	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.43817	up	TDOS	0	all	total	-5.621e-06	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.43817	down	TDOS	0	all	total	-0.5376	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.54917	up	TDOS	0	all	total	-0.0002187	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.54917	down	TDOS	0	all	total	11.13	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.65917	up	TDOS	0	all	total	-0.004368	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.65917	down	TDOS	0	all	total	37.56	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.77017	up	TDOS	0	all	total	-0.04256	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.77017	down	TDOS	0	all	total	58.47	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.88017	up	TDOS	0	all	total	-0.1733	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.88017	down	TDOS	0	all	total	49.46	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.99117	up	TDOS	0	all	total	-0.05394	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	1.99117	down	TDOS	0	all	total	25.25	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.10117	up	TDOS	0	all	total	1.424	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.10117	down	TDOS	0	all	total	16.59	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.21217	up	TDOS	0	all	total	3.667	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.21217	down	TDOS	0	all	total	23.14	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.32317	up	TDOS	0	all	total	4.259	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.32317	down	TDOS	0	all	total	29.43	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.43317	up	TDOS	0	all	total	4.097	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.43317	down	TDOS	0	all	total	31.49	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.54417	up	TDOS	0	all	total	4.458	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.54417	down	TDOS	0	all	total	29.85	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.65417	up	TDOS	0	all	total	5.066	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.65417	down	TDOS	0	all	total	25.11	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.76517	up	TDOS	0	all	total	6.084	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.76517	down	TDOS	0	all	total	23.64	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.87517	up	TDOS	0	all	total	7.627	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.87517	down	TDOS	0	all	total	30.16	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.98617	up	TDOS	0	all	total	9.538	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	2.98617	down	TDOS	0	all	total	47.08	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.09617	up	TDOS	0	all	total	11.2	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.09617	down	TDOS	0	all	total	70.7	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.20717	up	TDOS	0	all	total	11.89	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.20717	down	TDOS	0	all	total	88.6	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.31817	up	TDOS	0	all	total	12.06	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.31817	down	TDOS	0	all	total	93.79	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.42817	up	TDOS	0	all	total	12.41	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.42817	down	TDOS	0	all	total	86.09	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.53917	up	TDOS	0	all	total	13.07	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.53917	down	TDOS	0	all	total	72.1	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.64917	up	TDOS	0	all	total	13.98	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.64917	down	TDOS	0	all	total	64.96	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.76017	up	TDOS	0	all	total	15.53	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.76017	down	TDOS	0	all	total	66.42	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.87017	up	TDOS	0	all	total	17.68	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.87017	down	TDOS	0	all	total	68.5	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.98117	up	TDOS	0	all	total	20.62	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	3.98117	down	TDOS	0	all	total	72.54	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	up	Coact	16	Co	dxy	0.2947	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	down	Coact	16	Co	dxy	0.01172	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	up	Coact	16	Co	dyz	0.4437	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	down	Coact	16	Co	dyz	0.000471	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	up	Coact	16	Co	dz2	0.03433	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	down	Coact	16	Co	dz2	0.01945	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	up	Coact	16	Co	dxz	0.6253	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	down	Coact	16	Co	dxz	0.002514	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	up	Coact	16	Co	dx2-y2	0.1176	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.95883	down	Coact	16	Co	dx2-y2	0.0031	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	up	Coact	16	Co	dxy	0.5545	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	down	Coact	16	Co	dxy	0.01366	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	up	Coact	16	Co	dyz	0.8501	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	down	Coact	16	Co	dyz	0.001304	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	up	Coact	16	Co	dz2	0.01897	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
Al16	*O	-7.84883	down	Coact	16	Co	dz2	0.01584	source_manifest:COHP/PDOS/Al16/*O/DOSCAR
