system	state	spin	E_EF_eV	minusCOHP	minusICOHP
pristine_OH	*OH	up	-8.52130000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.47118000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.42105000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.37093000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.32080000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.27068000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.22055000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.17043000	-0.00000000	3.01129000
pristine_OH	*OH	up	-8.12030000	0.00000000	3.01129000
pristine_OH	*OH	up	-8.07018000	0.00000000	3.01129000
pristine_OH	*OH	up	-8.02005000	0.00001000	3.01129000
pristine_OH	*OH	up	-7.96992000	0.00029000	3.01130000
pristine_OH	*OH	up	-7.91980000	0.00167000	3.01139000
pristine_OH	*OH	up	-7.86967000	0.00268000	3.01152000
pristine_OH	*OH	up	-7.81955000	0.00328000	3.01169000
pristine_OH	*OH	up	-7.76942000	0.00662000	3.01202000
pristine_OH	*OH	up	-7.71930000	0.05095000	3.01457000
pristine_OH	*OH	up	-7.66917000	0.47268000	3.03827000
pristine_OH	*OH	up	-7.61905000	1.25897000	3.10137000
pristine_OH	*OH	up	-7.56892000	0.85466000	3.14421000
pristine_OH	*OH	up	-7.51880000	0.23593000	3.15604000
pristine_OH	*OH	up	-7.46867000	0.16676000	3.16440000
pristine_OH	*OH	up	-7.41855000	0.26416000	3.17764000
pristine_OH	*OH	up	-7.36842000	0.33280000	3.19432000
pristine_OH	*OH	up	-7.31830000	0.20663000	3.20468000
pristine_OH	*OH	up	-7.26817000	0.13082000	3.21123000
pristine_OH	*OH	up	-7.21805000	0.20224000	3.22137000
pristine_OH	*OH	up	-7.16792000	0.35866000	3.23935000
pristine_OH	*OH	up	-7.11779000	0.29273000	3.25402000
pristine_OH	*OH	up	-7.06767000	0.12521000	3.26030000
pristine_OH	*OH	up	-7.01754000	0.10682000	3.26565000
pristine_OH	*OH	up	-6.96742000	0.14399000	3.27287000
pristine_OH	*OH	up	-6.91729000	0.13784000	3.27978000
pristine_OH	*OH	up	-6.86717000	0.18379000	3.28899000
pristine_OH	*OH	up	-6.81704000	0.21846000	3.29994000
pristine_OH	*OH	up	-6.76692000	0.13991000	3.30696000
pristine_OH	*OH	up	-6.71679000	0.11216000	3.31258000
pristine_OH	*OH	up	-6.66667000	0.12498000	3.31884000
pristine_OH	*OH	up	-6.61654000	0.12582000	3.32515000
pristine_OH	*OH	up	-6.56642000	0.05788000	3.32805000
pristine_OH	*OH	up	-6.51629000	0.01709000	3.32891000
pristine_OH	*OH	up	-6.46617000	0.01241000	3.32953000
pristine_OH	*OH	up	-6.41604000	0.05161000	3.33212000
pristine_OH	*OH	up	-6.36591000	0.17961000	3.34112000
pristine_OH	*OH	up	-6.31579000	0.14644000	3.34846000
pristine_OH	*OH	up	-6.26566000	0.03003000	3.34996000
pristine_OH	*OH	up	-6.21554000	0.02125000	3.35103000
pristine_OH	*OH	up	-6.16541000	0.06248000	3.35416000
pristine_OH	*OH	up	-6.11529000	0.09212000	3.35878000
pristine_OH	*OH	up	-6.06516000	0.06396000	3.36199000
pristine_OH	*OH	up	-6.01504000	0.02763000	3.36337000
pristine_OH	*OH	up	-5.96491000	0.03987000	3.36537000
pristine_OH	*OH	up	-5.91479000	0.22511000	3.37665000
pristine_OH	*OH	up	-5.86466000	0.38470000	3.39594000
pristine_OH	*OH	up	-5.81454000	0.28895000	3.41042000
pristine_OH	*OH	up	-5.76441000	0.08151000	3.41451000
pristine_OH	*OH	up	-5.71429000	0.02224000	3.41562000
pristine_OH	*OH	up	-5.66416000	0.02844000	3.41705000
pristine_OH	*OH	up	-5.61404000	0.01992000	3.41804000
pristine_OH	*OH	up	-5.56391000	0.02975000	3.41954000
pristine_OH	*OH	up	-5.51378000	0.04421000	3.42175000
pristine_OH	*OH	up	-5.46366000	0.08886000	3.42621000
pristine_OH	*OH	up	-5.41353000	0.13925000	3.43318000
pristine_OH	*OH	up	-5.36341000	0.14584000	3.44050000
pristine_OH	*OH	up	-5.31328000	0.14004000	3.44751000
pristine_OH	*OH	up	-5.26316000	0.21363000	3.45822000
pristine_OH	*OH	up	-5.21303000	0.43863000	3.48021000
pristine_OH	*OH	up	-5.16291000	0.42330000	3.50143000
pristine_OH	*OH	up	-5.11278000	0.22100000	3.51251000
pristine_OH	*OH	up	-5.06266000	0.12474000	3.51876000
pristine_OH	*OH	up	-5.01253000	0.09703000	3.52362000
pristine_OH	*OH	up	-4.96241000	0.15060000	3.53117000
pristine_OH	*OH	up	-4.91228000	0.27277000	3.54484000
pristine_OH	*OH	up	-4.86216000	0.49062000	3.56944000
pristine_OH	*OH	up	-4.81203000	0.50946000	3.59497000
pristine_OH	*OH	up	-4.76190000	0.30398000	3.61021000
pristine_OH	*OH	up	-4.71178000	0.09394000	3.61492000
pristine_OH	*OH	up	-4.66165000	0.09388000	3.61962000
pristine_OH	*OH	up	-4.61153000	0.19083000	3.62919000
pristine_OH	*OH	up	-4.56140000	0.30056000	3.64426000
pristine_OH	*OH	up	-4.51128000	0.32892000	3.66074000
pristine_OH	*OH	up	-4.46115000	0.29003000	3.67528000
pristine_OH	*OH	up	-4.41103000	0.27758000	3.68919000
