energy_eV_rel_EF,Coact_16_dx2-y2_down,Coact_16_dx2-y2_up,Coact_16_dxy_down,Coact_16_dxy_up,Coact_16_dxz_down,Coact_16_dxz_up,Coact_16_dyz_down,Coact_16_dyz_up,Coact_16_dz2_down,Coact_16_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_51_px_down,neighbor_51_px_up,neighbor_51_py_down,neighbor_51_py_up,neighbor_51_pz_down,neighbor_51_pz_up,neighbor_51_s_down,neighbor_51_s_up
-5.07316,0.02676,0.02539,0.03923,0.05005,0.02868,0.03011,0.01434,0.03738,0.001942,0.1418,0.003625,0.01282,0.05112,0.06564,0.125,0.1924,0.2251,0.2254,0.1122,0.1021,0.1974,0.08237,52.41,93.41,0.001626,0.007923,0.01326,0.004272,0.02228,0.03685,0.01203,0.02313
-4.96216,0.01534,0.03143,0.02013,0.05755,0.01462,0.03762,0.01237,0.01948,0.001378,0.2034,0.003493,0.01435,0.04272,0.08049,0.1047,0.2228,0.1601,0.2298,0.09932,0.1224,0.1292,0.08418,50.65,96.05,0.002114,0.009325,0.01858,0.00586,0.0218,0.03833,0.007782,0.01787
-4.85216,0.01757,0.04601,0.0127,0.06016,0.01455,0.05133,0.01648,0.02523,0.001852,0.2813,0.003765,0.01699,0.03206,0.0771,0.05511,0.1979,0.125,0.1757,0.09674,0.1267,0.05917,0.06819,44.04,94.79,0.006516,0.007976,0.02135,0.006881,0.03714,0.02971,0.008268,0.01463
-4.74216,0.0438,0.06415,0.01322,0.07079,0.02208,0.06118,0.03129,0.0584,0.002809,0.3508,0.007877,0.01849,0.03181,0.05615,0.03592,0.1327,0.1787,0.1003,0.146,0.1213,0.03696,0.05802,47.07,93.74,0.01382,0.004851,0.01854,0.006705,0.05839,0.02426,0.01286,0.01641
-4.63116,0.05927,0.1048,0.01254,0.1107,0.02795,0.08464,0.03829,0.1198,0.003494,0.4883,0.01349,0.02224,0.02963,0.03424,0.03337,0.07635,0.1764,0.06148,0.1694,0.1233,0.03226,0.04803,51.58,97.08,0.01485,0.003419,0.01144,0.006722,0.05486,0.02221,0.01281,0.01597
-4.52116,0.04619,0.1632,0.009182,0.1667,0.0264,0.1117,0.03329,0.1748,0.00345,0.6201,0.01354,0.02626,0.02421,0.02425,0.02817,0.04479,0.09519,0.05697,0.1641,0.1159,0.03436,0.03329,54.3,99.83,0.01364,0.003811,0.006796,0.006799,0.03245,0.01698,0.007611,0.01356
-4.41116,0.03184,0.1804,0.01119,0.1915,0.02904,0.102,0.03271,0.1721,0.003726,0.5356,0.007777,0.02454,0.01967,0.02896,0.02168,0.03363,0.06417,0.06312,0.2377,0.1068,0.06979,0.0204,62.15,98.01,0.018,0.004567,0.007675,0.00586,0.01849,0.01113,0.0047,0.01483
-4.30016,0.02925,0.1356,0.02109,0.1913,0.04015,0.05948,0.03376,0.1167,0.00507,0.2795,0.003532,0.01912,0.01636,0.05324,0.01754,0.04102,0.07118,0.09041,0.3257,0.1122,0.1196,0.01636,65.91,95.77,0.01705,0.00458,0.01131,0.005212,0.01387,0.00983,0.004626,0.01755
-4.19016,0.03297,0.08473,0.02693,0.2148,0.04703,0.02766,0.02697,0.07801,0.006853,0.09457,0.002104,0.01973,0.01721,0.122,0.01489,0.0596,0.05072,0.1233,0.2749,0.1182,0.1162,0.02751,60.68,94.71,0.009206,0.004269,0.01193,0.005109,0.009782,0.01129,0.004109,0.01704
-4.08016,0.04781,0.06334,0.02165,0.258,0.04383,0.01909,0.02278,0.07503,0.01129,0.04424,0.003309,0.03103,0.03018,0.2504,0.01215,0.07407,0.04705,0.1218,0.1825,0.1378,0.06111,0.05029,63.84,92.01,0.006852,0.004684,0.00938,0.004677,0.006258,0.01069,0.003015,0.01441
-3.97016,0.0695,0.07642,0.01557,0.2594,0.03817,0.01943,0.04352,0.06685,0.02813,0.05683,0.0148,0.04136,0.05181,0.3277,0.01136,0.0661,0.1242,0.1009,0.2497,0.192,0.02457,0.06779,79.09,90.41,0.00908,0.005059,0.00874,0.005501,0.004473,0.007414,0.002689,0.01238
-3.85916,0.08073,0.1117,0.01763,0.1957,0.03182,0.01842,0.1029,0.04735,0.06987,0.08121,0.0424,0.03603,0.06618,0.2536,0.01359,0.03811,0.2125,0.09792,0.3514,0.213,0.02303,0.06882,89.05,92.95,0.008825,0.004073,0.009918,0.007754,0.003567,0.004255,0.002577,0.01122
-3.74916,0.08134,0.1269,0.0233,0.1222,0.02547,0.01465,0.1706,0.03409,0.13,0.08889,0.07626,0.0265,0.06771,0.1373,0.01665,0.01526,0.1976,0.1073,0.2961,0.1613,0.02709,0.06014,89.54,96.21,0.007295,0.003062,0.009642,0.008532,0.002879,0.003423,0.00242,0.01169
-3.63916,0.07893,0.09808,0.02416,0.07432,0.02287,0.0102,0.1647,0.03195,0.1611,0.0823,0.09051,0.03417,0.06028,0.08729,0.0223,0.007151,0.1341,0.117,0.1912,0.124,0.02189,0.04901,89.07,96.68,0.00819,0.004078,0.006813,0.007297,0.001998,0.003833,0.002927,0.01326
-3.52816,0.08053,0.05182,0.02835,0.05113,0.02535,0.006019,0.08457,0.03681,0.1946,0.08058,0.09425,0.06367,0.05712,0.09227,0.03039,0.007224,0.1063,0.1489,0.1596,0.1419,0.01405,0.03961,94.43,99.27,0.009875,0.008163,0.004143,0.007021,0.00139,0.003674,0.003956,0.01318
