energy_eV_rel_EF,Coact_16_dx2-y2_down,Coact_16_dx2-y2_up,Coact_16_dxy_down,Coact_16_dxy_up,Coact_16_dxz_down,Coact_16_dxz_up,Coact_16_dyz_down,Coact_16_dyz_up,Coact_16_dz2_down,Coact_16_dz2_up,Oads_347_px_down,Oads_347_px_up,Oads_347_py_down,Oads_347_py_up,Oads_347_pz_down,Oads_347_pz_up,Obridge_258_px_down,Obridge_258_px_up,Obridge_258_py_down,Obridge_258_py_up,Obridge_258_pz_down,Obridge_258_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_51_px_down,neighbor_51_px_up,neighbor_51_py_down,neighbor_51_py_up,neighbor_51_pz_down,neighbor_51_pz_up,neighbor_51_s_down,neighbor_51_s_up
-5.08483,0.02744,0.02454,0.04625,0.01367,0.03095,0.0655,0.01971,0.02279,0.002489,0.05826,0.005915,0.01185,0.005179,0.008003,0.009224,0.01201,0.2062,0.07174,0.1023,0.1276,0.1836,0.02251,50.87,91.14,0.002111,0.005193,0.01436,0.004994,0.024,0.03582,0.006582,0.02165
-4.97383,0.01696,0.02418,0.02465,0.01967,0.01955,0.07049,0.01491,0.01889,0.001657,0.06625,0.003981,0.01448,0.00277,0.008196,0.009064,0.01445,0.113,0.09443,0.06004,0.1382,0.0825,0.02606,49.29,94.03,0.002437,0.005833,0.01789,0.005652,0.0285,0.03888,0.00707,0.0184
-4.86383,0.02659,0.02607,0.01645,0.02699,0.01696,0.06185,0.01909,0.0319,0.00221,0.07723,0.004837,0.02337,0.002673,0.01033,0.01417,0.02033,0.1127,0.1509,0.0942,0.1238,0.02964,0.03509,45.45,94.34,0.007513,0.006116,0.0197,0.00607,0.04602,0.03467,0.01122,0.01577
-4.75283,0.04713,0.02927,0.01968,0.04128,0.02761,0.06241,0.03292,0.0699,0.004113,0.09833,0.008066,0.03622,0.004779,0.01185,0.01618,0.03139,0.1659,0.2401,0.1746,0.107,0.02457,0.05449,47.64,95.12,0.01363,0.00645,0.01503,0.006745,0.05889,0.0319,0.01579,0.01786
-4.64283,0.0485,0.04541,0.01951,0.08209,0.03637,0.09743,0.03635,0.1241,0.005047,0.162,0.007414,0.05464,0.005911,0.01809,0.01393,0.05113,0.1325,0.2881,0.1782,0.1124,0.02421,0.07024,50.57,96.89,0.01391,0.006567,0.009007,0.007907,0.04591,0.02496,0.01267,0.01921
-4.53183,0.03418,0.09126,0.01778,0.1743,0.03513,0.1534,0.031,0.1779,0.003952,0.266,0.003696,0.07349,0.005764,0.03022,0.01224,0.07187,0.06458,0.2592,0.1825,0.1237,0.03567,0.07821,54.29,98.01,0.01437,0.006039,0.00689,0.008413,0.02472,0.0149,0.00664,0.01683
-4.42083,0.02776,0.151,0.02615,0.2825,0.03987,0.182,0.03171,0.1913,0.003326,0.3217,0.003235,0.08008,0.007045,0.04014,0.01372,0.07473,0.05566,0.2089,0.2838,0.1354,0.07718,0.08078,63.29,98.77,0.01825,0.005515,0.008971,0.007556,0.01527,0.01004,0.004701,0.0138
-4.31083,0.0286,0.1767,0.03645,0.306,0.05229,0.1532,0.03051,0.1455,0.003139,0.2648,0.005193,0.07312,0.008494,0.04188,0.01661,0.06113,0.05679,0.1862,0.3191,0.1436,0.1138,0.07411,66.12,99.61,0.01496,0.005178,0.01143,0.006653,0.01164,0.009278,0.004769,0.01344
-4.19983,0.03361,0.1486,0.0323,0.224,0.05699,0.097,0.0231,0.08248,0.00257,0.1551,0.005405,0.06136,0.008784,0.03757,0.02166,0.0486,0.03681,0.159,0.212,0.1395,0.09515,0.06136,60.1,97.25,0.008317,0.005107,0.01025,0.00532,0.008288,0.008649,0.003764,0.01349
-4.08983,0.05392,0.1012,0.02472,0.1352,0.05291,0.05437,0.03023,0.04487,0.005557,0.07885,0.008349,0.04437,0.0117,0.03158,0.03302,0.03556,0.06119,0.0988,0.1788,0.147,0.04558,0.04799,64.45,91.35,0.007979,0.005042,0.008648,0.003889,0.005846,0.007263,0.002624,0.01145
-3.97883,0.08412,0.09214,0.03801,0.1148,0.05268,0.03418,0.06407,0.03626,0.01484,0.05667,0.02369,0.02398,0.01887,0.02629,0.04276,0.02108,0.1548,0.06091,0.3005,0.1825,0.02118,0.04544,80.82,89.03,0.009648,0.004271,0.009671,0.004513,0.00435,0.005092,0.00257,0.01062
-3.86883,0.1006,0.1438,0.06473,0.1296,0.05279,0.02983,0.1043,0.03605,0.02801,0.08374,0.04722,0.01369,0.02632,0.02301,0.04623,0.01487,0.2033,0.06834,0.3429,0.1841,0.02149,0.0553,90.42,92.88,0.00844,0.003097,0.0106,0.006116,0.003322,0.003387,0.002584,0.01299
-3.75783,0.09886,0.1847,0.07334,0.1235,0.04646,0.02925,0.1244,0.03309,0.05435,0.1448,0.06428,0.03199,0.03516,0.02685,0.05653,0.01849,0.1493,0.09201,0.241,0.1349,0.02051,0.05868,90.64,96.23,0.007037,0.003293,0.008915,0.007191,0.002417,0.00311,0.00258,0.01476
-3.64783,0.08944,0.1516,0.0558,0.09027,0.04223,0.02182,0.1113,0.03329,0.1284,0.1968,0.07261,0.09042,0.05844,0.04054,0.07702,0.02362,0.09188,0.1211,0.1694,0.1165,0.0148,0.05173,91.02,96.63,0.008344,0.006158,0.00555,0.008031,0.001499,0.003709,0.003436,0.01315
-3.53683,0.07344,0.09295,0.03603,0.06015,0.04559,0.01093,0.08107,0.03498,0.2731,0.2297,0.0848,0.1677,0.09602,0.04578,0.09427,0.02335,0.06799,0.1469,0.1525,0.1303,0.01325,0.04484,95.95,99.97,0.009633,0.01047,0.003754,0.008583,0.001128,0.003967,0.00453,0.01001
-3.42583,0.0578,0.06609,0.04138,0.08696,0.04562,0.006384,0.05445,0.03066,0.357,0.2875,0.09434,0.2334,0.1012,0.05851,0.08606,0.02157,0.04195,0.1471,0.116,0.1138,0.01586,0.03791,101.3,106.1,0.008118,0.01146,0.003902,0.009528,0.001482,0.003285,0.004626,0.006893
-3.31583,0.0502,0.1073,0.07948,0.1807,0.05915,0.01658,0.04124,0.03887,0.2484,0.3691,0.1178,0.283,0.06941,0.2422,0.0692,0.0243,0.02448,0.1238,0.06687,0.08097,0.01552,0.02833,100.7,110.8,0.006114,0.008163,0.004033,0.01182,0.002065,0.002598,0.003839,0.004848
-3.20483,0.03979,0.2183,0.1153,0.2397,0.223,0.04242,0.07937,0.09702,0.09609,0.3557,0.2767,0.2792,0.09896,0.668,0.09936,0.02743,0.03805,0.09887,0.04025,0.07647,0.01047,0.01988,94.72,115.4,0.004326,0.006219,0.003555,0.01544,0.002298,0.00236,0.002983,0.004056
-3.09483,0.02775,0.2581,0.1066,0.1784,0.5816,0.05575,0.1505,0.1607,0.04285,0.2159,0.533,0.2102,0.2167,0.8839,0.159,0.02526,0.06873,0.06979,0.04308,0.08205,0.005602,0.01496,91.88,120.1,0.002351,0.008449,0.002965,0.01741,0.001893,0.002169,0.002162,0.00386
-2.98383,0.02429,0.1499,0.0679,0.07115,0.7124,0.03684,0.1539,0.1411,0.04293,0.08035,0.5398,0.1329,0.2586,0.572,0.1484,0.02736,0.075,0.03747,0.04763,0.06789,0.003385,0.01124,98.77,122,0.001514,0.01138,0.002584,0.0131,0.001436,0.002174,0.00149,0.003745
-2.87383,0.02329,0.03709,0.03798,0.02123,0.3883,0.01284,0.08075,0.07652,0.03216,0.02319,0.2558,0.08184,0.1403,0.1825,0.06686,0.0387,0.04794,0.0209,0.0357,0.04872,0.002201,0.0075,107.4,120.5,0.0016,0.009768,0.002367,0.006137,0.0013,0.002463,0.001346,0.002985
-2.76283,0.01758,0.005316,0.02219,0.02184,0.06161,0.004124,0.01887,0.03772,0.01327,0.01822,0.03801,0.05284,0.02072,0.03857,0.01119,0.05459,0.02253,0.01581,0.0199,0.04161,0.001122,0.005039,102.3,116.2,0.001311,0.004559,0.00184,0.002697,0.001029,0.002448,0.001438,0.001735
-2.65283,0.01236,0.01457,0.01247,0.03376,-0.01688,0.01406,0.03568,0.02639,0.004089,0.02955,-0.0003844,0.04535,0.005661,0.02134,-0.0001541,0.1155,0.01059,0.01565,0.008488,0.04173,0.0004835,0.005042,85.42,109.6,0.0006321,0.001404,0.00109,0.001852,0.0005653,0.00198,0.00125,0.001101
-2.54183,0.02216,0.03523,0.01703,0.0481,0.006541,0.05598,0.1685,0.02516,0.01162,0.04739,0.03901,0.05449,0.06482,0.02863,0.002682,0.2756,0.004659,0.03155,0.001686,0.03509,0.0004021,0.008792,72.8,99.9,0.0002848,0.001508,0.00058,0.001634,0.0002642,0.001913,0.0008588,0.001468
-2.43083,0.06046,0.04879,0.06484,0.05775,0.02364,0.09822,0.2753,0.02171,0.04734,0.05536,0.07101,0.05904,0.108,0.03476,0.01358,0.4128,0.005057,0.05251,0.000744,0.02448,0.001293,0.01516,70.22,87.96,0.0004385,0.00246,0.0002668,0.001693,0.0001372,0.002588,0.0009154,0.002162
-2.32083,0.1246,0.03569,0.1685,0.04963,0.02158,0.07807,0.204,0.01208,0.1094,0.04064,0.05759,0.04401,0.07323,0.02756,0.03541,0.3502,0.0119,0.04731,0.01024,0.0241,0.003902,0.01907,75.28,77.92,0.001038,0.002916,0.0005136,0.001615,9.819e-05,0.003201,0.00278,0.002338
-2.20983,0.1994,0.01381,0.3358,0.03181,0.01818,0.02883,0.1111,0.003354,0.209,0.0209,0.03835,0.02149,0.02816,0.01889,0.08418,0.1845,0.02214,0.02697,0.03784,0.0344,0.01032,0.02245,85.2,70.11,0.001705,0.003313,0.002414,0.001236,0.0001668,0.003021,0.006557,0.00199
-2.09983,0.2781,0.006087,0.5595,0.01942,0.03443,0.008564,0.1157,0.001093,0.4173,0.0104,0.03958,0.007192,0.04091,0.01921,0.2187,0.07478,0.03668,0.0158,0.07873,0.06547,0.0278,0.03562,95,64.72,0.001834,0.003527,0.005456,0.0008377,0.0004583,0.002089,0.009233,0.00163
-1.98883,0.3148,0.006985,0.5988,0.01434,0.08317,0.007267,0.1332,0.003259,0.6579,0.007182,0.03926,0.00181,0.08671,0.02203,0.421,0.05367,0.05379,0.01245,0.1039,0.1404,0.05366,0.06367,103.4,66.69,0.001789,0.002715,0.005942,0.0007364,0.0009618,0.001245,0.008169,0.001243
-1.87883,0.2475,0.007313,0.3327,0.0123,0.1308,0.006523,0.09466,0.006502,0.6683,0.006173,0.029,0.0007463,0.08878,0.02208,0.4718,0.07782,0.0611,0.01248,0.08186,0.203,0.0609,0.07889,102.7,72.19,0.001993,0.001502,0.003255,0.000839,0.001207,0.0008851,0.005127,0.0007711
-1.76783,0.122,0.005376,0.0765,0.009601,0.1234,0.004391,0.03849,0.007533,0.4079,0.004359,0.02551,-0.001692,0.04095,0.0196,0.2982,0.0739,0.05568,0.01078,0.03296,0.1598,0.04152,0.05359,84.03,71.34,0.001851,0.0009123,0.001167,0.0007453,0.001021,0.0007011,0.003242,0.0003736
-1.65783,0.02993,0.003415,-0.003373,0.00704,0.07111,0.002404,0.0114,0.006582,0.1339,0.002562,0.02342,0.001565,0.006555,0.04569,0.1175,0.04022,0.03989,0.006974,0.003999,0.0678,0.01953,0.01906,65.31,66.05,0.001099,0.0007078,0.0006021,0.0005604,0.0006898,0.0005965,0.002233,0.0001835
-1.54683,-0.002498,0.003783,-0.006182,0.008405,0.02022,0.001426,0.00284,0.006112,0.01022,0.001722,0.01061,0.06395,-0.001295,0.208,0.02693,0.01973,0.01581,0.006125,-0.001141,0.02773,0.0057,0.006164,66.73,63.19,0.0006241,0.000542,0.0006045,0.0006425,0.0003471,0.0007335,0.00204,0.0001741
-1.43583,-0.003983,0.005388,-0.001853,0.01426,-0.001622,0.0007747,-0.0002883,0.005691,-0.0103,0.001078,0.0005011,0.2022,-0.001052,0.4992,-0.003772,-0.001142,0.0009869,0.006867,0.0002339,0.02771,-5.181e-05,0.005014,78.86,63.09,0.001023,0.0004475,0.0008722,0.0007194,0.0001537,0.0009517,0.003393,0.0002102
-1.32583,-0.001011,0.004921,5.195e-07,0.01675,-0.002654,0.002124,-0.0002807,0.004445,-0.004307,0.0008633,-0.0009194,0.2585,-0.00029,0.5538,-0.004134,0.02893,-0.0006147,0.005316,0.001026,0.02689,-0.0001304,0.005208,91.9,59.96,0.001495,0.0004026,0.0009298,0.0005053,0.0001331,0.0008081,0.003975,0.0002137
-1.21483,6.972e-05,0.002732,0.0004652,0.01315,-0.0005512,0.01264,0.0002325,0.004162,-0.0004586,0.005,-0.0001227,0.2097,9.336e-06,0.2883,0.0001396,0.3797,0.0007623,0.004428,0.001007,0.01985,0.0008299,0.009287,103.4,57.09,0.001335,0.0003615,0.000711,0.0004277,0.0002197,0.0004731,0.002898,0.0002564
-1.10483,0.0002288,0.00152,0.0003535,0.01104,6.104e-05,0.02702,0.0002689,0.004537,0.0001536,0.01267,0.0001371,0.2277,5.204e-05,0.1135,0.001267,0.9632,0.001074,0.006459,0.0007756,0.01841,0.0009132,0.01712,102.4,60.79,0.0008863,0.0003398,0.0005013,0.0006245,0.0002671,0.0003706,0.001737,0.0003761
-0.99383,0.0001356,-0.0008335,0.0001273,0.008054,7.17e-05,0.0185,0.0001084,-0.001759,7.274e-05,0.01276,8.136e-05,0.2126,3.753e-05,0.08396,0.0007969,0.9648,0.0008193,0.006439,0.0005946,0.02024,0.0004148,0.01739,90.58,68.11,0.0004759,0.0003229,0.0002715,0.0006351,0.0001559,0.0004144,0.0008518,0.0004265
-0.88383,4.309e-05,-0.0004276,3.14e-05,0.004638,3.677e-05,0.002498,1.83e-05,0.001619,4.273e-05,0.004885,1.806e-05,0.08753,2.803e-05,0.04061,0.00036,0.367,0.000673,0.002998,0.0006387,0.01591,5.493e-05,0.008301,80.83,73.74,0.0001684,0.0002483,0.0001163,0.0004155,3.585e-05,0.0004024,0.0002839,0.0002884
-0.77283,1.879e-05,0.03702,2.724e-05,0.0256,3.003e-05,0.08066,8.491e-06,0.1218,4.586e-05,0.0005609,6.236e-06,0.004439,2.065e-05,-0.001057,0.0002356,-0.007582,0.000531,-0.0003692,0.0005446,0.006985,-1.307e-05,0.001122,68.46,70.61,4.297e-05,0.0001546,6.599e-05,0.000257,1.203e-05,0.0003138,0.0001057,7.94e-05
-0.66283,7.522e-06,0.1163,1.806e-05,0.07794,-2.872e-06,0.2622,2.44e-06,0.3672,1.996e-05,0.001303,-7.03e-05,0.01584,-1.524e-05,-0.01236,-3.414e-05,-0.04351,0.0002478,-0.001325,0.0001957,0.002582,-2.724e-06,-0.0002592,47.71,62.98,4.11e-05,0.0001404,2.895e-05,0.0002299,2.373e-05,0.0002695,9.189e-05,-3.793e-05
-0.55183,-8.916e-06,0.1592,-1.323e-05,0.1351,-0.0003409,0.3581,-9.415e-05,0.4537,-0.0001097,0.002052,-0.001254,0.1886,-0.0004592,0.04956,-0.002795,0.03542,6.338e-05,0.01202,-4.96e-06,0.01101,-1.174e-05,0.005203,30.86,60.15,5.002e-05,0.0002163,8.137e-06,0.0004049,2.331e-05,0.0003714,9.1e-05,0.0001554
-0.44083,-7.6e-05,0.167,-0.0001485,0.2104,-0.002497,0.3667,-0.0007118,0.3649,-0.000851,0.001678,-0.009018,0.5767,-0.003436,0.205,-0.0204,0.1771,7.916e-06,0.04589,-4.122e-05,0.03297,-8.867e-05,0.01827,27.52,62.15,4.151e-05,0.0005181,7.28e-06,0.0009312,1.34e-05,0.0006617,8.716e-05,0.001099
-0.33083,-0.0001884,0.1488,-0.0003691,0.2214,-0.006071,0.3187,-0.001737,0.2683,-0.002075,0.001191,-0.0219,0.7073,-0.008394,0.2606,-0.04954,0.2279,-2.845e-05,0.05862,-7.302e-05,0.04111,-0.000216,0.02309,28,65.82,2.968e-05,0.0009278,8.391e-06,0.0014,5.403e-06,0.0009827,8.192e-05,0.002209
-0.21983,0.000384,0.06764,0.0007186,0.1023,0.01168,0.1425,0.003382,0.1181,0.003991,0.0005258,0.04197,0.3349,0.01616,0.124,0.09547,0.1116,0.0002365,0.029,0.0001509,0.02076,0.0004172,0.01136,20.21,69.12,2.13e-05,0.0008437,8.626e-06,0.001126,1.42e-05,0.000865,9.266e-05,0.001917
-0.10983,0.002436,0.003115,0.004714,0.004866,0.07749,0.006693,0.02237,0.005281,0.0265,4.32e-05,0.2786,0.01647,0.1066,0.006235,0.6331,0.008541,0.001247,0.002845,0.0009799,0.002465,0.002769,0.001007,16.18,67.81,3.205e-05,0.0003366,1.378e-05,0.0004548,6.036e-05,0.0004076,0.0001964,0.0006629
0.00117,0.002921,-0.006714,0.006827,-0.009567,0.1207,-0.01362,0.03479,-0.01235,0.04122,-4.222e-05,0.4311,-0.03136,0.158,-0.01152,0.9859,-0.009093,0.001921,-0.001642,0.00152,-0.0008344,0.004314,-0.0007536,17.91,52.63,4.41e-05,2.112e-05,1.587e-05,9.226e-05,9.235e-05,0.0001205,0.0002649,2.106e-06
0.11117,-0.00256,-0.00202,0.00142,-0.002822,0.06927,-0.00412,0.01982,-0.003836,0.02341,-1.508e-05,0.234,-0.009301,0.05138,-0.003431,0.568,-0.003051,0.001104,-0.0004451,0.0008537,-0.0001834,0.002487,-0.00023,10.91,24.43,2.537e-05,-2.753e-05,6.257e-06,1.64e-05,5.323e-05,3.772e-05,0.0001417,-5.48e-05
0.22217,-0.003457,-0.0002695,-0.001729,-0.0003805,0.00734,-0.0005923,0.001986,-0.0005273,0.002287,-2.931e-06,0.01469,-0.001181,-0.02412,-0.0004406,0.06169,-0.0004865,0.0001173,-9.171e-05,7.604e-05,-7.134e-05,0.0002706,-4.696e-05,1.663,2.99,2.629e-06,-1.09e-05,-9.025e-07,-1.179e-06,5.732e-06,5.005e-06,1.058e-05,-1.801e-05
