energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_347_px_down,Oads_347_px_up,Oads_347_py_down,Oads_347_py_up,Oads_347_pz_down,Oads_347_pz_up,Obridge_258_px_down,Obridge_258_px_up,Obridge_258_py_down,Obridge_258_py_up,Obridge_258_pz_down,Obridge_258_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-5.58322,0.00376,0.009591,0.00662,0.007389,0.05006,0.01605,0.01351,0.006596,0.004104,0.02928,0.002204,0.003615,0.001266,0.003685,0.0005019,0.001848,0.01872,0.01728,0.0176,0.0302,0.03687,0.005204,65.9,81.34,0.01315,0.2489,0.01127,0.1695,0.004496,0.2146,0.0006848,0.6567,6.705e-05,0.003361
-5.47722,0.002014,0.02499,0.005122,0.02058,0.04036,0.0204,0.01106,0.02484,0.003461,0.0567,0.001656,0.007014,0.001003,0.005524,0.0002756,0.004731,0.01533,0.04322,0.01316,0.05461,0.02468,0.003318,57.34,120.8,0.007851,0.2723,0.005897,0.1859,0.002791,0.321,0.0003389,0.7918,-3.323e-05,0.005302
-5.37122,0.0008241,0.03383,0.002382,0.02788,0.01534,0.03456,0.004159,0.03308,0.001406,0.07141,0.0007752,0.0133,0.000457,0.008219,0.0001214,0.01195,0.006258,0.06165,0.004782,0.08085,0.007541,0.007189,41.13,129,0.002893,0.176,0.002142,0.2057,0.00107,0.396,0.000159,0.5703,5.785e-05,0.006931
-5.26522,0.005016,0.03029,0.003701,0.02296,0.0007878,0.0533,0.002912,0.03921,0.0001747,0.06683,6.949e-05,0.02349,0.000559,0.01223,8.89e-05,0.02463,0.009258,0.06498,0.005811,0.1152,-0.0007008,0.01364,25.52,115,0.001186,0.08055,0.0003814,0.2026,0.0005315,0.5603,0.000103,0.3079,0.0007936,0.006843
-5.15922,0.01097,0.02446,0.006628,0.01692,-0.001351,0.06838,0.006104,0.05454,0.0001442,0.05818,-0.001002,0.03568,0.000758,0.01684,-0.0005588,0.0363,0.01808,0.06577,0.0116,0.1455,-0.004238,0.02011,24.11,112.1,0.001671,0.04179,-0.000182,0.1925,0.0007936,0.7472,1.853e-05,0.1814,0.001776,0.006081
-5.05322,0.007043,0.02142,-0.0003462,0.01915,-0.007374,0.07086,0.003886,0.0758,0.0001583,0.05292,-0.004773,0.03969,-0.0009962,0.01764,-0.003812,0.03577,0.004694,0.06539,0.003562,0.1308,-0.01556,0.02274,24.83,116,0.001573,0.03034,-0.0005651,0.1886,0.0007155,0.7034,-0.000403,0.1075,0.001563,0.00526
-4.94722,0.0005818,0.02289,-0.004063,0.03036,-0.006585,0.0685,-0.0009234,0.08795,-9.967e-06,0.0562,-0.004107,0.04575,-0.001275,0.01967,-0.003247,0.03473,-0.007021,0.06766,-0.003399,0.08574,-0.01257,0.02224,14.18,107,0.0005518,0.02311,-0.0004332,0.2127,0.0002099,0.4332,-0.0004229,0.0676,0.0004194,0.004451
-4.84122,0.02411,0.03252,0.05602,0.04943,0.06446,0.07427,0.01099,0.08367,0.000241,0.08001,0.03354,0.06473,0.01515,0.02812,0.02914,0.04519,0.09744,0.08652,0.06046,0.06663,0.1113,0.01925,2.702,85.85,-5.132e-05,0.02106,0.00344,0.2562,-0.0001058,0.2443,0.003337,0.08764,-9.074e-05,0.005223
-4.73522,0.07617,0.04661,0.1773,0.07186,0.2006,0.09699,0.04777,0.09061,0.001009,0.125,0.1079,0.06894,0.0469,0.03101,0.09106,0.04626,0.3243,0.109,0.1937,0.07123,0.3527,0.01328,2.18,71.63,-9.149e-05,0.02969,0.01072,0.26,2.489e-05,0.2973,0.01083,0.1151,0.000774,0.008668
-4.62922,0.08741,0.06557,0.2087,0.1099,0.2305,0.1412,0.08723,0.136,0.002655,0.1833,0.1311,0.05548,0.05217,0.02697,0.106,0.03315,0.4177,0.1199,0.2317,0.07535,0.4166,0.007739,13.09,81.93,0.000138,0.04365,0.01278,0.2811,0.0008691,0.4543,0.01413,0.1089,0.003212,0.01137
-4.52322,0.0422,0.08731,0.1187,0.1586,0.132,0.1733,0.1029,0.1753,0.006865,0.2161,0.07941,0.05658,0.02261,0.02879,0.06267,0.03041,0.2912,0.1194,0.1349,0.07403,0.2309,0.005742,32.68,103.2,0.0008461,0.04309,0.01004,0.3849,0.002162,0.4903,0.01268,0.09994,0.005139,0.008811
-4.41722,0.009667,0.1027,0.04838,0.1818,0.07153,0.1656,0.07792,0.1646,0.01043,0.2041,0.032,0.0587,0.00206,0.02869,0.0377,0.03414,0.136,0.1013,0.05601,0.06455,0.07382,0.005725,51.03,108.4,0.001648,0.02604,0.0103,0.4126,0.003021,0.3823,0.01168,0.1167,0.003933,0.005106
-4.31122,0.028,0.1277,0.04006,0.2229,0.06209,0.1571,0.03668,0.1463,0.007635,0.2226,0.01849,0.04485,0.00717,0.02085,0.05665,0.02811,0.04413,0.07398,0.05304,0.05695,0.03902,0.006959,57.38,99.63,0.001686,0.01217,0.009884,0.2744,0.00398,0.2585,0.01097,0.1307,0.005336,0.01544
-4.20522,0.07998,0.1505,0.0527,0.2862,0.04946,0.1502,0.02694,0.1345,0.002177,0.2571,0.02,0.03249,0.02212,0.01794,0.09042,0.02012,0.01964,0.06618,0.09822,0.07934,0.04611,0.01439,56.09,92.37,0.001521,0.01529,0.006363,0.1729,0.005521,0.1835,0.01463,0.1296,0.01811,0.05036
-4.10022,0.1016,0.1318,0.05357,0.2666,0.04143,0.1063,0.03914,0.09553,0.006848,0.2103,0.02023,0.02692,0.03047,0.02059,0.08557,0.01963,0.04072,0.08671,0.1469,0.1196,0.03753,0.03232,56.77,92.6,0.002012,0.03734,0.003589,0.2626,0.006657,0.1447,0.02064,0.143,0.03488,0.0871
-3.99422,0.07614,0.09057,0.04734,0.1699,0.05434,0.05104,0.04453,0.05051,0.03403,0.1236,0.02339,0.02369,0.03763,0.01972,0.04229,0.02282,0.05938,0.1038,0.1608,0.1239,0.01441,0.04797,60.11,96.72,0.002452,0.06386,0.002488,0.4073,0.009057,0.1185,0.02057,0.1498,0.03894,0.09175
-3.88822,0.0731,0.0582,0.05306,0.08512,0.08196,0.01816,0.04504,0.02831,0.08261,0.07193,0.04572,0.02225,0.05133,0.01678,0.01466,0.02437,0.05046,0.09006,0.1519,0.08948,0.002846,0.04401,65.02,91.49,0.00217,0.07505,0.002249,0.3863,0.01439,0.09043,0.01907,0.1181,0.031,0.07358
-3.78222,0.1082,0.04075,0.06177,0.05012,0.1113,0.004794,0.0524,0.0226,0.1908,0.08084,0.1182,0.04179,0.07364,0.02507,0.03205,0.03244,0.02725,0.0797,0.1328,0.06811,0.005616,0.03744,72.68,71.66,0.002754,0.06455,0.002283,0.2243,0.01843,0.06465,0.01988,0.07091,0.02156,0.07713
-3.67622,0.1323,0.04218,0.06653,0.05309,0.1685,0.00241,0.08466,0.02503,0.3731,0.1674,0.2924,0.1044,0.1276,0.05393,0.1195,0.05612,0.03028,0.1229,0.1169,0.1151,0.01823,0.06035,78.83,56.65,0.008393,0.04944,0.002565,0.1383,0.01696,0.05903,0.01922,0.04313,0.01548,0.1402
