energy_eV_rel_EF,Coact_21_dx2-y2_down,Coact_21_dx2-y2_up,Coact_21_dxy_down,Coact_21_dxy_up,Coact_21_dxz_down,Coact_21_dxz_up,Coact_21_dyz_down,Coact_21_dyz_up,Coact_21_dz2_down,Coact_21_dz2_up,Oads_348_px_down,Oads_348_px_up,Oads_348_py_down,Oads_348_py_up,Oads_348_pz_down,Oads_348_pz_up,Obridge_259_px_down,Obridge_259_px_up,Obridge_259_py_down,Obridge_259_py_up,Obridge_259_pz_down,Obridge_259_pz_up,TDOS_0_total_down,TDOS_0_total_up,neighbor_23_dx2-y2_down,neighbor_23_dx2-y2_up,neighbor_23_dxy_down,neighbor_23_dxy_up,neighbor_23_dxz_down,neighbor_23_dxz_up,neighbor_23_dyz_down,neighbor_23_dyz_up,neighbor_23_dz2_down,neighbor_23_dz2_up
-4.31463,0.02653,0.1005,0.04724,0.2901,0.07934,0.07254,0.05476,0.1416,0.01165,0.2666,0.01885,0.01045,0.01675,0.1813,0.01625,0.167,0.2456,0.04954,0.06078,0.02707,0.1188,0.04395,65.56,104.1,0.001323,0.0143,0.01548,0.3222,0.002208,0.3178,0.01373,0.1268,0.002625,0.007818
-4.20963,0.06511,0.1038,0.04359,0.3278,0.07145,0.05775,0.07826,0.09543,0.005814,0.23,0.01352,0.009831,0.02117,0.2098,0.013,0.1474,0.2535,0.03296,0.04426,0.04754,0.1221,0.05151,54.1,104,0.001312,0.01625,0.01036,0.2617,0.002114,0.205,0.01603,0.1409,0.006539,0.02297
-4.10363,0.114,0.09228,0.03292,0.2819,0.04345,0.04124,0.07287,0.0633,0.01091,0.1593,0.01564,0.009367,0.05992,0.1804,0.008332,0.1062,0.1867,0.04021,0.1083,0.08157,0.1404,0.04734,51.23,99.3,0.002642,0.03391,0.006578,0.3017,0.001856,0.1362,0.02193,0.1577,0.02002,0.04997
-3.99863,0.1371,0.06348,0.02963,0.1921,0.0341,0.02441,0.04804,0.04198,0.04245,0.08037,0.03308,0.00737,0.114,0.1164,0.005677,0.06063,0.1771,0.05471,0.2266,0.09667,0.2003,0.03519,59.29,95.82,0.004266,0.05347,0.007515,0.3988,0.002815,0.1097,0.03131,0.1679,0.03762,0.0684
-3.89263,0.117,0.03717,0.03473,0.1269,0.05722,0.01444,0.04296,0.03195,0.09782,0.04081,0.05988,0.006354,0.1103,0.07214,0.01029,0.03213,0.192,0.06008,0.2644,0.07793,0.2132,0.02127,66.47,90.44,0.004167,0.0619,0.008062,0.4252,0.007128,0.1056,0.03423,0.1464,0.04021,0.06378
-3.78763,0.08737,0.01937,0.04951,0.07602,0.09237,0.008333,0.06079,0.02883,0.1731,0.02323,0.08992,0.005354,0.05529,0.05098,0.02308,0.01777,0.1722,0.04715,0.1823,0.04876,0.1567,0.01036,70.63,72.71,0.002995,0.05645,0.00623,0.3065,0.01425,0.08417,0.02839,0.1022,0.02631,0.05492
-3.68263,0.08355,0.01123,0.07042,0.03682,0.1196,0.005073,0.08074,0.02984,0.2821,0.01904,0.1228,0.008231,0.01611,0.03835,0.03283,0.009479,0.146,0.0398,0.08881,0.05461,0.1064,0.007605,75.93,56.59,0.003482,0.04788,0.003941,0.1715,0.01873,0.0521,0.02372,0.06369,0.01561,0.08928
-3.57663,0.09236,0.02109,0.07892,0.0287,0.1282,0.006595,0.1019,0.03783,0.4141,0.04848,0.1478,0.03389,0.006694,0.07295,0.03112,0.008078,0.1211,0.06686,0.06438,0.1286,0.0842,0.02116,78.93,69.97,0.00717,0.05777,0.002781,0.1711,0.01785,0.04793,0.022,0.05203,0.01519,0.1783
-3.47163,0.09202,0.04275,0.07418,0.04348,0.116,0.01027,0.1399,0.04838,0.4662,0.1027,0.1455,0.07987,0.007466,0.1717,0.02454,0.01083,0.1003,0.1172,0.1042,0.232,0.06815,0.05048,79.52,103.5,0.01588,0.09066,0.00288,0.2439,0.01673,0.07512,0.01867,0.06553,0.02032,0.2524
-3.36563,0.07541,0.04783,0.0649,0.05529,0.08128,0.01122,0.1655,0.04944,0.34,0.1185,0.1073,0.09875,0.01021,0.2377,0.0194,0.01251,0.09894,0.1471,0.1422,0.2598,0.05174,0.07507,80.8,118.1,0.02747,0.123,0.003232,0.2511,0.01708,0.09353,0.01719,0.09106,0.02746,0.2473
-3.26063,0.06768,0.03239,0.05132,0.04862,0.04415,0.008673,0.1332,0.03795,0.1552,0.08777,0.06193,0.07582,0.02314,0.1924,0.01918,0.01226,0.1071,0.1224,0.1504,0.1856,0.04156,0.07728,82.94,105.1,0.03752,0.1399,0.004409,0.1977,0.01491,0.07906,0.01892,0.1186,0.03009,0.1729
-3.15463,0.09148,0.02539,0.04337,0.0422,0.08245,0.005789,0.0811,0.02355,0.07628,0.08077,0.06465,0.05849,0.07473,0.1061,0.02686,0.01241,0.1109,0.07968,0.17,0.1186,0.03505,0.07204,92.96,100.3,0.07086,0.1819,0.00695,0.1897,0.01231,0.05851,0.02104,0.1527,0.02544,0.09423
-3.04963,0.1118,0.03608,0.04814,0.05478,0.2566,0.005047,0.06908,0.01591,0.08991,0.1247,0.154,0.07439,0.1949,0.06196,0.03871,0.01426,0.1137,0.0796,0.2074,0.1156,0.0259,0.07327,116.3,128.3,0.1554,0.2789,0.009395,0.2127,0.01318,0.05634,0.02552,0.1994,0.02056,0.1162
