"energy_eV_rel_EF","Al_total_up","Al_total_down","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-15.882158819999999","-2.4801914552678e-12","-1.0873722218422498e-12","-2.43630799357351e-13","-9.7711776457125e-14","-9.323956480391762e-11","-4.087056554421791e-11","-4.892130046927092e-10","-2.1492669532141588e-10"
"-15.771158819999998","-8.81844095752811e-15","-3.8316074197599406e-15","-8.659291395305938e-16","-3.44271699161858e-16","-3.316456485925058e-13","-1.4404308449016311e-13","-1.7399766695569229e-12","-7.572623840716356e-13"
"-15.661158819999999","-1.55095107999744e-17","-7.72537545347964e-18","-1.5158815983203e-18","-6.94063003418136e-19","-5.820599768963001e-16","-2.9042594862055656e-16","-3.0520558836360635e-15","-1.526441662093329e-15"
"-15.55115882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.440158819999999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.33015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.22015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.11015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.99915882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.88915882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.779158820000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.66815882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.558158820000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.448158820000002","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.33715882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.227158820000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.117158819999998","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.007158819999999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.896158819999998","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.786158819999999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.67615882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.565158819999999","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.45515882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.34515882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.23515882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.12415882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.01415882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.904158820000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.79315882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.683158820000001","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.57315882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.46215882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.35215882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.24215882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.13215882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.02115882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.91115882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.80115882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.69015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.58015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.47015882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.35915882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.24915882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.13915882","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.02915882","-1.201724851391e-30","0.0","-1.7851454045157e-30","0.0","-4.6821618824804584e-30","0.0","-1.1506109282469229e-29","0.0"
"-10.91815882","-7.972265247190001e-27","-6.06399973176e-31","-1.1840007205239199e-26","-5.739663635540701e-31","-3.1050204314353997e-26","-2.19641825730998e-30","-7.630394209819311e-26","-5.4282525625159984e-30"
"-10.808158820000001","-2.87085884704e-23","-4.22595393448e-27","-4.2618726685705005e-23","-4.00065750309e-27","-1.1175229964579106e-22","-1.53036635638455e-26","-2.746478865147701e-22","-3.7822525145559224e-26"
