"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-5.91479","16.5254","5.7329099999999995","3.3957099999999993","10.202390000000005","25.901020000000003","61.62959000000001"
"-5.86466","33.73235","7.195600000000001","6.67811","13.26448","51.74344000000001","79.93221000000003"
"-5.81454","33.72858000000001","6.652829999999999","6.689359999999999","11.796679999999997","52.22533999999999","71.4907"
"-5.76441","19.19441","6.118619999999999","3.810779999999999","9.704479999999995","29.226879999999994","59.029769999999985"
"-5.71429","10.876660000000001","6.30959","1.2229999999999996","9.706879999999996","11.360769999999999","59.16211"
"-5.66416","21.952929999999995","5.18243","0.9373900000000003","8.223309999999998","15.458149999999996","50.84357000000003"
"-5.61404","27.327279999999995","3.01554","0.79839","5.8198300000000005","17.458949999999998","36.04033999999999"
"-5.56391","55.856120000000004","2.63891","0.78833","6.776170000000001","31.618129999999997","42.149680000000004"
"-5.51378","84.13673","3.2632000000000003","1.2787399999999993","9.0213","49.12055999999999","57.032159999999976"
"-5.46366","96.31939000000001","2.25692","1.7168100000000008","6.475119999999999","58.47702","40.978509999999986"
"-5.41353","101.94918","1.4686799999999998","1.9361900000000003","2.941280000000001","62.702130000000004","19.811530000000005"
"-5.36341","73.44519000000001","2.39489","1.8647899999999997","3.37109","49.01805000000002","23.68213"
"-5.31328","46.14160999999999","4.688549999999998","2.0438299999999985","5.817470000000001","38.63174","39.20424"
"-5.26316","48.95684000000001","4.0301100000000005","2.5421300000000002","5.04102","44.57167999999999","33.75349"
"-5.21303","59.82172","1.8260199999999998","2.8002700000000003","2.8812800000000007","52.00881","19.775560000000002"
"-5.16291","62.83192","1.1722199999999998","2.3829000000000002","2.1665300000000007","49.587219999999995","15.204750000000004"
"-5.11278","66.06591999999999","1.2772","2.0999700000000003","3.28284","47.10262000000002","24.504580000000004"
"-5.06266","75.48012999999997","2.1865800000000006","2.53354","5.962920000000001","52.96951","44.79045000000002"
"-5.01253","69.24847","1.12595","3.01907","3.3473000000000006","54.14872999999999","24.884199999999996"
"-4.96241","55.53016000000001","0.2531","3.1500899999999987","0.87032","49.68389999999998","6.347059999999998"
"-4.91228","48.58020000000001","0.02055","2.8954199999999997","0.07529000000000004","44.23353","0.5447900000000002"
"-4.86216","46.20843","0.00028000000000000003","2.8265600000000006","0.0012100000000000001","41.43866000000001","0.00879"
"-4.81203","39.590320000000006","0.0","2.6405900000000004","0.0","36.83106","0.0"
"-4.7619","27.219820000000002","0.0","1.7416299999999996","0.0","25.171169999999996","0.0"
"-4.71178","28.97022","0.00011000000000000002","1.2897200000000004","0.0","21.60018","0.00048000000000000007"
"-4.66165","46.57731000000001","0.028969999999999992","1.7935899999999998","0.0022100000000000015","30.040800000000004","0.11585000000000004"
"-4.61153","64.17555999999999","0.8134600000000002","2.506099999999999","0.06256000000000003","39.182990000000004","3.2417600000000006"
"-4.5614","76.2898","4.62281","2.9038099999999996","0.34962999999999994","43.81243","18.451959999999996"
"-4.51128","76.50383","7.8426800000000005","2.5917400000000006","0.58348","39.72239","30.553340000000006"
"-4.46115","61.24951","10.575909999999997","1.8733900000000003","0.7991200000000002","29.18746000000001","35.38458"
"-4.41103","52.66460000000001","13.62869","1.69538","1.1982999999999997","26.69235","46.60772999999999"
"-4.3609","63.38262","11.35247","2.273310000000001","1.3095000000000006","36.69849999999999","48.76109999999999"
"-4.31078","67.51586999999999","12.504430000000001","2.688599999999999","1.2926300000000006","41.878870000000006","51.64212999999998"
"-4.26065","56.1974","12.31862","2.566809999999998","1.075050000000001","38.61336000000001","47.05120000000001"
"-4.21053","53.06989000000001","9.52322","2.5590500000000005","0.8637899999999995","39.56886999999999","39.68374"
"-4.1604","49.72799","10.848460000000001","2.2907100000000016","0.9688100000000001","38.08160000000001","47.78604000000001"
"-4.11028","48.69217999999999","10.03457","2.00097","0.8498300000000001","36.261179999999996","43.873709999999996"
"-4.06015","50.177189999999996","8.9964","1.9097199999999994","0.7129200000000002","37.34443000000001","38.15435"
"-4.01003","50.01504","11.256639999999999","1.9288999999999992","0.8214000000000002","39.193870000000004","48.011179999999996"
"-3.9599","49.933139999999995","12.793659999999997","1.8965699999999988","0.84495","41.047520000000006","53.71861999999998"
"-3.90977","51.15048999999999","12.4599","1.7943200000000006","0.7596299999999998","43.45441999999999","50.45162000000001"
"-3.85965","44.903780000000005","14.670519999999996","1.6719299999999995","0.9234300000000001","43.49189000000001","57.79249000000001"
"-3.80952","38.31342","15.571380000000001","1.5776199999999998","1.0142499999999997","43.746359999999996","59.064710000000005"
"-3.7594","27.656739999999996","14.349710000000002","1.07866","0.9497400000000003","33.08487999999999","53.82880000000001"
"-3.70927","13.27479","14.16343","0.4386399999999999","0.9362200000000003","15.68625","55.02191"
"-3.65915","13.639140000000001","17.01411","0.3230000000000001","1.00406","14.53385","64.43820000000001"
"-3.60902","31.704800000000002","20.861780000000003","0.7679699999999999","1.0970499999999999","32.92411","71.57782"
