"energy_eV_rel_EF","Al_total_up","Al_total_down","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-4.5614","1.31685","1.82294","46.50817","5.563670000000001","3.145919999999998","1.16111","52.643530000000005","47.23708999999999"
"-4.51128","1.1316000000000002","1.79724","46.04013","6.76088","2.6592399999999987","1.2380699999999996","49.871449999999996","52.96089999999999"
"-4.46115","0.92896","1.56192","44.85574999999999","6.94166","2.29977","1.2512000000000003","47.1531","53.24725999999998"
"-4.41103","0.78147","1.5327000000000002","45.02506","6.97871","2.1236499999999996","1.2644099999999998","46.717050000000015","54.75446"
"-4.3609","0.7108700000000001","1.5846299999999998","44.07942","6.99859","1.96945","1.2302899999999997","45.09096999999999","56.128670000000014"
"-4.31078","0.7440199999999999","1.27432","46.88048","6.03768","2.0431900000000005","0.9463600000000003","48.69628000000001","49.210460000000005"
"-4.26065","0.72726","1.41278","47.0116","6.209820000000001","2.1065599999999995","0.8855099999999999","50.166920000000005","52.242900000000006"
"-4.21053","0.69099","1.1689100000000001","45.26697999999999","6.551309999999999","2.1973999999999987","0.8176099999999998","49.56615000000001","52.024959999999986"
"-4.1604","0.5901000000000001","0.64104","42.86453","7.15379","2.1112899999999994","0.7485899999999995","45.617180000000005","49.76665"
"-4.11028","0.55156","0.53029","43.021829999999994","7.653809999999999","2.10447","0.8177800000000002","45.44332000000001","51.956540000000004"
"-4.06015","0.5880299999999999","0.5415300000000001","43.69209","8.68721","2.1456299999999997","1.0321999999999993","48.00292000000002","61.69468"
"-4.01003","0.58819","0.60396","41.77666","10.072970000000002","2.0359100000000008","1.21208","48.3016","71.62525000000002"
"-3.9599","0.55328","0.59457","41.37219","9.73209","1.8205900000000002","1.11788","48.67705","70.16385"
"-3.90977","0.52228","0.50169","41.894099999999995","10.18284","1.7246200000000003","1.0315100000000004","49.359809999999996","72.55324000000003"
"-3.85965","0.5560499999999999","0.41834000000000005","41.923730000000006","11.57488","1.7392600000000005","1.0089999999999995","50.60305999999998","79.00498000000003"
"-3.80952","0.6291","0.38355","45.97915","12.099079999999999","1.7868299999999997","1.05105","53.61168999999999","83.64365000000002"
"-3.7594","0.59854","0.37326","46.51129999999999","11.825549999999998","1.6551500000000006","1.0509399999999998","50.542899999999996","83.43222999999999"
"-3.70927","0.5130399999999999","0.33858","43.05188000000001","11.559009999999999","1.4601799999999996","0.94563","46.17652999999999","79.3725"
"-3.65915","0.5179800000000001","0.2657","43.12976999999999","11.32824","1.3915099999999994","0.81418","49.68434","76.21635999999998"
"-3.60902","0.58372","0.23454","43.786699999999996","10.72546","1.4054500000000005","0.7220599999999999","54.95782000000001","74.18671999999997"
"-3.5589","0.56748","0.24667","43.920919999999995","10.591050000000001","1.4362700000000002","0.76275","55.87809000000003","75.17494000000003"
"-3.50877","0.51827","0.25099","45.251549999999995","11.42051","1.4589999999999994","1.0238400000000003","56.52997000000001","82.37693000000002"
"-3.45865","0.48677","0.26889","46.36974","12.039570000000001","1.4489300000000003","1.1057299999999994","59.134580000000035","83.92612999999999"
"-3.40852","0.44193000000000005","0.30003","47.53403","13.99141","1.4207900000000002","0.9276900000000002","60.27775999999999","85.78153999999999"
"-3.3584","0.40231000000000006","0.3134","49.89245","16.07065","1.32951","0.88448","57.08361000000001","90.53384"
"-3.30827","0.41079","0.3094","55.867239999999995","15.235499999999998","1.2615399999999999","0.8374199999999996","54.30115","84.90872999999999"
"-3.25815","0.41825","0.32528999999999997","62.298989999999996","15.249120000000001","1.2530799999999993","0.8944599999999998","52.462330000000016","84.28622000000001"
"-3.20802","0.41872999999999994","0.32755999999999996","64.71688","14.80972","1.2902799999999996","0.8916200000000003","52.601690000000005","80.33794000000002"
"-3.15789","0.44963","0.32254","64.95614","13.866629999999999","1.3162099999999997","0.7892599999999996","54.46943999999998","74.34894"
"-3.10777","0.43576000000000004","0.32543","60.753449999999994","12.97968","1.2671599999999998","0.7083499999999999","53.11003999999997","67.86244"
"-3.05764","0.44924","0.3213","58.39276999999999","13.548829999999999","1.2809999999999997","0.67356","53.092999999999975","65.96374000000003"
