"energy_eV_rel_EF","Co_total_up","Co_total_down","H_total_up","H_total_down","O_total_up","O_total_down"
"-19.29063345","1.9004059506","1.323460426","7.1803708701","5.520612508599998","38.38870191799998","29.188233654000005"
"-19.18463345","2.1282396363","2.1077572190000002","8.896596812200002","9.048844121899998","47.600249318700016","47.81258448300001"
"-19.07963345","1.9711655609999996","1.7289371532","8.4829571847","7.5588115397","45.66391365900002","39.974049086999976"
"-18.97463345","1.92999446","1.32528018004","8.084311224000004","6.040345952199998","44.337970187700016","32.15527126"
"-18.86863345","2.52144168","1.8359836660000002","10.919355250999994","8.846937497399999","60.37669682999998","47.43902781000002"
"-18.76363345","4.0162167","2.420005335","18.965878287","12.20889759870001","104.07832054000002","65.79139869999999"
"-18.65763345","5.827848900000001","2.8848630162199997","29.421981826000007","15.59603626400001","160.10711070999997","84.24717716000002"
"-18.55263345","6.14437323","3.909367","32.39719552599999","23.350408984999994","174.81619984999995","125.57704761000002"
"-18.44663345","4.59763697","4.94959716","24.2439317699","32.146103448000005","129.76004470000004","171.87368818999997"
"-18.34163345","2.8313591722000004","4.402080450000001","13.733461982156005","30.229082367000018","73.2093426883","160.9264198200001"
"-18.235633449999998","1.4909624366","2.38062285","6.36889526822","16.7980548605","34.044960402890005","88.94107622199999"
"-18.13063345","0.51396036859","0.8101343019000001","1.9513319295199996","5.4275461659605995","10.494251139439998","28.24852992173"
"-18.02463345","0.27171478587200004","0.29703317230000004","1.011150183681","1.6292654327100005","5.40141606961","8.164925278220004"
"-17.91963345","0.4855979803","0.1765231259","1.941332499439","0.9488917507119998","10.318160227656499","4.826090676820001"
"-17.81363345","0.41395640972000003","0.24605943149","1.671672461872372","1.4508936628893","8.8887897561566","7.573319951161999"
"-17.70863345","0.1121868517528","0.42489275152500006","0.4536308058912","2.5331396042598695","2.4128171744426","13.153528522693998"
"-17.60363345","-0.023812809009899998","0.4391492490731","-0.09653565682616","2.5999317675170097","-0.513564030027","13.434118464309199"
"-17.49763345","-0.01910061737012","0.23098001395070997","-0.077357633711115","1.3519617658555803","-0.41163923079478004","6.97536631542964"
"-17.392633449999998","-0.004007813127201","0.034861301428740006","-0.016230493413119","0.1978662564760285","-0.08637297404333501","1.0224853984138542"
"-17.28663345","-0.0003955713227949","-0.019337699511999998","-0.0016017558039538","-0.11476974237563001","-0.00852472963055049","-0.5921132935750001"
"-17.18163345","-2.045829634937e-05","-0.009845478668270001","-8.2829912281442e-05","-0.057500784291446","-0.000440892026428188","-0.29713546526089496"
"-17.075633449999998","-5.768827250798999e-07","-0.001826677713683","-2.3356651073335003e-06","-0.010601904470771402","-1.243249078806411e-05","-0.054850849807188504"
"-16.97063345","-9.040179127773002e-09","-0.00016907774017767006","-3.6598369725211004e-08","-0.00097750920648648","-1.94833834888373e-07","-0.005061908144027399"
"-16.86463345","-7.954168347337999e-11","-8.402672807725999e-06","-3.2199434588921e-10","-4.8464530997081004e-05","-1.71434146950539e-09","-0.000251084430552909"
"-16.75963345","-3.954125116594e-13","-2.3073202221004996e-07","-1.6007157606166e-12","-1.3284967924025601e-06","-8.522989276884619e-12","-6.8859241336583206e-06"
"-16.65363345","-1.1132625652436e-15","-3.547359475512201e-09","-4.506716517231101e-15","-2.04032486664957e-08","-2.3999738351559704e-14","-1.0577630915472951e-07"
"-16.54863345","0.0","-3.0756006330631006e-11","0.0","-1.7676904854785e-10","0.0","-9.164923308661138e-10"
"-16.44263345","0.0","-1.5099263046206003e-13","0.0","-8.6734713766065e-13","0.0","-4.49776667807514e-12"
"-16.33763345","0.0","-4.3191298524397003e-16","0.0","-2.47825997755763e-15","0.0","-1.2855138130404488e-14"
"-16.232633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-16.12663345","0.0","0.0","0.0","0.0","0.0","0.0"
"-16.02163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.915633450000001","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.810633450000001","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.70463345","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.599633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.49363345","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.38863345","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.282633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.177633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-15.07163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.96663345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.86163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.755633450000001","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.65063345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.54463345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.439633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.33363345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.22863345","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.122633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-14.017633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.91163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.80663345","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.700633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.595633450000001","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.49063345","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.384633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.279633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.17363345","0.0","0.0","0.0","0.0","0.0","0.0"
"-13.06863345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.962633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.857633449999998","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.75163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.64663345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.54063345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.43563345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.32963345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.224633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.11963345","0.0","0.0","0.0","0.0","0.0","0.0"
"-12.01363345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.90863345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.80263345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.69763345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.59163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.48663345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.38063345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.275633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.16963345","0.0","0.0","0.0","0.0","0.0","0.0"
"-11.06463345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.958633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.85363345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.74763345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.64263345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.53763345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.43163345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.32663345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.22063345","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.115633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-10.009633449999999","0.0","0.0","0.0","0.0","0.0","0.0"
"-9.90463345","0.0","0.0","0.0","0.0","0.0","0.0"
"-9.79863345","0.0","0.0","0.0","0.0","0.0","0.0"
"-9.69363345","0.0","0.0","0.0","0.0","0.0","0.0"
"-9.58763345","-3.3283880141e-30","0.0","-3.4736248702299994e-30","0.0","-8.592218560999998e-30","0.0"
